id,id_grupoconsulta,control,valor
604,2,CheckCLI,0
605,2,EdtCLI,
606,2,CheckTEL,0
607,2,EditTEL,
608,2,CheckNIF,0
609,2,CheckCLI1PERSO3,0
610,2,EditCLI1PERSO3,
611,2,EditCLI1PERSO2,
612,2,CheckCLI1PERSO2,0
613,2,CheckCLI1PERSO1,0
614,2,EditCLI1PERSO1,
615,2,CheckCLI1PERSO4,0
616,2,EditCLI1PERSO4,
617,2,CheckCLI1PERSO5,0
618,2,DatePERSO1,30/12/1899
619,2,DatePERSO1hasta,30/12/1899
620,2,CheckCLI2PERSO3,0
621,2,EditCLI2PERSO3,
622,2,EditCLI2PERSO2,
623,2,CheckCLI2PERSO2,0
624,2,CheckCLI2PERSO1,0
625,2,EditCLI2PERSO1,
626,2,CheckCLI2PERSO4,0
627,2,EditCLI2PERSO4,
628,2,CheckCLI2PERSO5,0
629,2,DatePERSO2,30/12/1899
630,2,DatePERSO2HASTA,30/12/1899
631,2,CheckCLI3PERSO3,0
632,2,EditCLI3PERSO3,
633,2,EditCLI3PERSO2,
634,2,CheckCLI3PERSO2,0
635,2,CheckCLI3PERSO1,0
636,2,EditCLI3PERSO1,
637,2,CheckCLI3PERSO4,0
638,2,EditCLI3PERSO4,
639,2,CheckCLI3PERSO5,0
640,2,DatePERSO3,30/12/1899
641,2,DatePERSO3HASTA,30/12/1899
642,2,CheckCLI4PERSO3,0
643,2,EditCLI4PERSO3,
644,2,EditCLI4PERSO2,
645,2,CheckCLI4PERSO2,0
646,2,CheckCLI4PERSO1,0
647,2,EditCLI4PERSO1,
648,2,CheckCLI4PERSO4,0
649,2,EditCLI4PERSO4,
650,2,CheckCLI4PERSO5,0
651,2,DatePERSO4,30/12/1899
652,2,DatePERSO4HASTA,30/12/1899
653,2,CheckCLI5PERSO1,0
654,2,EditCLI5PERSO1,
655,2,CheckCLI5PERSO2,0
656,2,EditCLI5PERSO2,
657,2,CheckCLI5PERSO3,0
658,2,EditCLI5PERSO3,
659,2,CheckCLI5PERSO4,0
660,2,EditCLI5PERSO4,
661,2,CheckCLI5PERSO5,0
662,2,DatePERSO5,30/12/1899
663,2,DatePERSO5HASTA,30/12/1899
