id,campo
1,snombreprocu
2,nif
3,direccion
4,poblacion
5,provincia
6,codpostal
7,telefono
8,fax
9,tituloprocurador
10,snombreabo
11,snifabo
12,sdomicilioabo
13,spoblacionabo
14,scodpostalabo
15,sprovinciaabo
16,Nacionalidad
17,email
18,pagweb
19,stelefonoabo
20,telefono2
21,telefono3
22,sfaxabo
23,smovilabo
24,cuentabanco
25,banco
26,telefono1
27,cuenta
28,empresa
29,nifcif
30,sufdescord
31,sufijo58
32,sufvenord
33,sufijo19
34,snombrecli
35,contingenciafiscal
36,quiebra
37,regimenfiscal
38,riesgofiscal
39,iae
40,fecha
41,resultado
42,impsocie
43,baseimp
44,iva
45,sociedad
46,fechaconsti
47,objetosocial
48,capital
49,acciones
50,valoracc
51,formaorgadm
52,fechaorgadm
53,fechacaducidad
54,socinscripcion
55,sochoja
56,socfolio
57,soctomo
58,socarchivo
59,socregistro
60,socienotas
61,librosoficiales
62,libro
63,cuentas
64,socio
65,porcapital
66,administrador
67,miembros
68,cargo
69,consejero
70,apoderado
71,descripcion
72,snifcli
73,sdomiciliocli
74,spoblacioncli
75,scodpostalcli
76,sprovinciacli
77,stelefonocli
78,sfaxcli
79,smovilcli
80,codigo
81,fechaalta
82,snombrecol
83,snifcol
84,sdomiciliocol
85,spoblacioncol
86,scodpostalcol
87,sprovinciacol
88,stelefonocol
89,sfaxcol
90,smovilcol
91,nombre
92,domicilio
93,email1
94,email2
95,movil
96,snombreclicon
97,nifclicon
98,snombrepro
99,stelefonopro
100,srefabogado
101,expediente
102,iyear
103,srefcliente
104,procedimiento
105,juzgado
106,snumasunto
107,dfechaact
108,sactuacion
109,Actuacion
110,poblacionjuz
111,cif
112,inumpoder
113,dfechapoder
114,snotario
115,snifpro
116,sdomiciliopro
117,spoblacionpro
118,scodpostalpro
119,sprovinciapro
120,sfaxpro
121,smovilpro
122,nombrecli
123,nifcli
124,domiciliocli
125,codpostalcli
126,poblacioncli
127,provinciacli
128,inumfactura
129,salidaeuro
130,totalsuplidoseuro
131,totalderechoseuro
132,TotalIvaEuro
133,TotalIrpfeuro
134,TotalEuro
135,totalprovisioneseuro
136,tiempo
137,precio
138,concepto1gr1
139,importe1gr1
140,servicio1gr1
141,concepto2gr1
