id,grupo,codigo
1,Actualización en docencia en general,001-00
2,Administración de personal en general,002-00
3,Secretariado y otros trabajos auxiliares de oficina en general,003-00
4,Trabajos auxiliares de Oficina,003-01
5,Atención telefónica y recepción,003-02
6,Secretariado,003-03
7,"Almacenaje, Stocks y Envíos en general",004-00
8,Operación de carretillas,004-01
9,Análisis de riesgos-banca en general,005-00
10,Análisis y Control de Costes en general,006-00
11,Análisis y Control Financiero en general,007-00
12,Análisis y ensayos de laboratorio en general,008-00
13,Trabajos auxiliares en  laboratorios de química industrial,008-01
14,Análisis en laboratorios de química industrial,008-02
15,Trabajos auxiliares en laboratorios de industrias alimentarias,008-03
16,Atención al Cliente/Calidad Servicio en general,009-00
17,Información al cliente,009-01
18,Calidad de servicio,009-02
19,Atención al cliente mediante TICs,009-03
20,Atención al paciente o usuario de servicios sanitarios en general,010-00
21,Atención al paciente o usuario hospitalario,010-01
22,"Atención extrahospitalaria: farmacia, ortopedia, etc.",010-02
23,Auditoría ambiental en general,011-00
24,Auditoría económico financiera en general,013-00
25,Auditoría informática en general,014-00
26,Autómatas programables y robótica en general,015-00
27,Automatismos industriales en general,016-00
28,Instalación de automatismos,016-01
29,Cuidados sanitarios auxiliares en general,017-00
30,Movilización y traslado de pacientes,017-01
31,Cuidados auxiliares de transporte sanitario,017-02
32,Cuidados auxiliares de enfermería hospitalaria,017-03
33,Cuidados auxiliares en geriatría,017-04
34,Cuidados auxiliares en salud mental y toxicomanías,017-05
35,Cuidados auxiliares en rehabilitación,017-06
36,Higiene dental,017-07
37,Prótesis dental,017-08
38,"Bibliotecas, Archivos y Documentación en general",018-00
39,Documentación en medios de comunicación,018-01
40,Calderería industrial en general,019-00
41,Tubería industrial,019-01
42,Trabajos auxiliares de calderería,019-02
43,Calderería- Tubería,019-03
44,Técnicas de calderería,019-04
45,Hostelería-Servicio de comidas y bebidas en general,024-00
46,Jefatura de salas de restauración,024-01
47,Servicio en restaurantes y bares,024-02
48,Presentación de vinos y bebidas,024-03
49,Presentación de Buffetes,024-04
50,Coctelería,024-05
51,Servicios de Juegos de Azar en general,025-00
52,Gestión de apuestas en casinos y mesas de juego,025-01
53,Operación de apuestas,025-02
54,Estadística,026-01
55,Bioquímica,026-02
56,Edafología,026-03
57,Botánica,026-04
58,Economía,026-05
59,Geología,026-06
60,Matemáticas,026-07
