id,etapa,tipo,icodopor,fechaInicio,fechaFin,tiempo
1,Sin iniciar,Todos,6,2021-05-28 09:57:12.973000,2021-05-28 12:56:11.920000,0
2,Solicitada,Todos,14,2021-05-28 11:41:02.287000,,0
3,Sin iniciar,Todos,6,2021-05-28 12:56:11.977000,,0
4,Sin iniciar,Todos,0,2021-06-17 11:29:31.070000,2021-06-17 11:31:16.710000,0
5,Sin iniciar,Todos,0,2021-06-17 11:31:16.747000,2021-06-17 11:31:16.900000,0
6,Sin iniciar,Todos,0,2021-06-17 11:31:16.933000,2021-06-17 11:33:19.373000,0
7,Presupuesto,Todos,0,2021-06-17 11:33:19.417000,,0
8,Sin iniciar,Todos,0,2021-06-17 11:35:24.170000,2021-06-21 18:33:42.527000,0
9,Recibida,Todos,30,2021-06-17 12:58:35.467000,,0
10,Solicitada,Todos,31,2021-06-17 12:59:31.313000,,0
11,Solicitada,Todos,32,2021-06-17 13:00:22.683000,,0
12,Recibida,Todos,33,2021-06-17 13:01:05.157000,,0
13,Solicitada,Todos,34,2021-06-17 13:01:52.013000,,0
14,Solicitada,Todos,36,2021-06-17 13:16:33.407000,,0
15,Presupuesto,Todos,0,2021-06-21 18:33:42.583000,,0
16,Solicitada,Todos,49,2022-03-31 15:39:14.910000,,0
17,Solicitada,Todos,49,2022-03-31 15:39:53.840000,,0
18,Solicitada,Todos,52,2022-05-26 17:29:17.063000,,0
