tipodocumento,descripcion,plantilla,fechaFTP,subidoFTP,id,itipo,theme,orientation,favorito,notas,recomendada,idMN
Bonos,1.1 Bonos,C:\MNprogram\DOCS-MNPROGRAM_9362\DocPlant\Bonos\1.1 Bonos.doc,2022-10-26 10:44:18.380000,,368,,,,,,,
Bonos,1.1 Bonos,Bonos\1.1 Bonos.doc,,,369,,,,,,,
Clientes,1.1 caratula del cliente.doc,clientes\informes\1.1 caratula del cliente.doc,,,204,,none,0,,,,
Clientes,1.1 caratula del paciente.doc,clientes\informes\1.1 caratula del paciente.doc,,,243,,none,0,,,,
Clientes,1.1 documento lopd (vs20.12).doc,Clientes\1.1 documento lopd (vs20.12).doc,,,295,,none,1,,,,
Clientes,1.1 documento lopd.doc,Clientes\1.1 documento lopd.doc,,,334,,,1,,,,
Clientes,1.1 pedido proveedor.doc,Clientes\Compras\1.1 pedido proveedor.doc,,,315,,none,0,False,,,
Clientes,1.1 presupuesto (vs20.12).doc,Clientes\Oportunidades\1.1 presupuesto (vs20.12).doc,,,309,,none,0,True,,,
Clientes,1.1 presupuesto(vs20.12).doc,Clientes\Oportunidades\1.1 presupuesto(vs20.12).doc,,,299,,none,0,,,,
Clientes,1.1 presupuesto.doc,Clientes\Oportunidades\1.1 presupuesto.doc,,,329,,,,,,,
Clientes,1.2 Autorización Grabación Imágenes (videoconsultas),Clientes\1.2 Autorización Grabación Imágenes (videoconsultas).doc,,,340,,,,,,,
Clientes,1.2 autorización grabación imágenes (videoconsultas) (vs20.12).doc,Clientes\1.2 autorización grabación imágenes (videoconsultas) (vs20.12).doc,,,308,,none,0,,,,
Clientes,1.2 pedido proveedor por unidades,Clientes\Compras\1.2 pedido proveedor por unidades.doc,,,341,,,,,,,
Clientes,1.2 presupuesto por unidades,Clientes\Oportunidades\1.2 presupuesto por unidades.doc,,,342,,,,,,,
Clientes,1.3 autorización de domiciliación (para particular) (vs20.12).doc,Clientes\1.3 autorización de domiciliación (para particular) (vs20.12).doc,,,305,,none,0,,,,
Clientes,1.3 autorización de domiciliación (para particular).doc,Clientes\1.3 autorización de domiciliación (para particular).doc,,,330,,,,,,,
Clientes,1.4 autorización de domiciliación (para empresa),Clientes\1.4 autorización de domiciliación (para empresa).doc,,,339,,,,,,,
