id,nombre,texto,asunto,rutaCarpeta,favorita,recomendada,idMN
3,Formulario Registro + Firma LOPD,"¡Bienvenida/o a nuestro centro!

 

Pulsa en el siguiente enlace para cubrir tus datos 

[UrlEnlacesWeb|1]



¡Muchas gracias!
",,,,,
4,Formulario COVID,"Formulario COVID
 


Confirmo no tener ni haber tenido en los últimos días ninguno de los siguitentes síntomas:
 


- Fiebre (+38)

- Pérdida de olfato y/o gusto

- Dolor muscular

- Dolor de garganta

- Dolor de cabeza
 

- Ni haber estado en contacto con personas diagnosticadas o con síntomas compatibles con el COVID 19.
 



[Aceptar Whatsapp]
 


¡Muchas gracias!",,,,,
6,Recordatorio de Reunión,"Hola [Nombre], 

Te recuerdo que el dia [Fecha] a las [Hora] tenemos la reunión, por favor confirma asistencia.

Gracias y un saludo.",,,,,
8,Informe Historia Clínica,"Hola [Nombre], 

Te enviamos tu Informe de Historia Clínica: [Abrir Documento]

Un saludo.",,,,,
9,Envío Factura,"Hola [Nombre], 

Te enviamos tu factura de los servicios prestados: [Abrir Documento].

Un saludo.",,,,,
10,Aceptación Documento LOPD,"Estimada/o [Nombre]

De acuerdo con la normativa de protección de datos vigente, te envío un enlace para que leas y aceptes la documentación pertinente: [Aceptar Documento] 

Recuerda que cuando lo desees puedes ponerte en contacto con nosotros para ejercer cualquiera de tus derechos (acceso, rectificación, cancelación, oposición, supresión, limitación y portabilidad).

Una vez hecho, todas las partes recibiremos por correo electrónico una copia final del PDF.

Gracias.
",,,,,
11,Aceptación Presupuesto,"Estimada/o [Nombre],

Tal y como acordamos, te envío un enlace con el presupuesto. En él encontrarás todos los detalles relativos a la contratación, revisa que estén correctos. 

[Aceptar Documento]

Cuando hayas aceptado el presupuesto, todas las partes recibiremos por correo electrónico una copia final en PDF. 

Muchas gracias
",,,,,
12,Actualización Datos,"Estimado [Nombre]

Queremos confirmar que tu información de contacto es correcta y está actualizada para poder prestarte el mejor servicio.

Clica en el siguiente enlace para revisarlos y actualizarlos en caso de ser necesario: [UrlEnlacesWeb|1]

Muchas gracias.
",,,,,
13,Adjunto Whatsapp,"Hola [Nombre],

Haz clic aquí para ver el documento adjunto: [Abrir Documento]

¡Muchas gracias!",,,,,
14,Intento de localización,"Hola [Nombre],

Hemos intentado localizarte varias veces, pero no lo hemos conseguido. 

Por favor, llámanos o responde a este mensaje y comunícanos para cuándo quieres concertar una nueva cita.  
 
Muchas gracias y un saludo.",,,,,
15,Confirmación de pago,"A/A: [Nombre]

Estimado cliente, simplemente queríamos confirmarte que hemos recibido correctamente tu pago de [Importe]

Recibe un cordial saludo.

",,,,,
17,Formulario Registro + Firma LOPD Paciente,"¡Bienvenida/o a [Nombre Empresa]!


Pulsa sobre el siguiente enlace para cubrir tus datos y un breve cuestionario acerca de tus datos médicos y así formalizar el alta como paciente. No supone ningún compromiso y tan sólo te llevará 1 minuto. 
Además, una vez completado el registro te llegará un correo electrónico con una copia de tu LOPD firmada.

[UrlEnlacesWeb]

Si eres menor de edad, cubre este formulario:
[UrlEnlacesWeb]

Si tienes cualquier duda, puedes llamarnos al [Teléfono Empresa].


¡Muchas gracias por confiar en nosotros!
",,,,True,E108862A-8004-444B-84DB-9EFE023E7E09
18,Enviar Factura,"¡Hola [Nombre]!

Te escribimos de [Nombre Empresa].

Te envíamos tu factura. Pulsa en el siguiente enlace para abrirla.
[Abrir Documento]

Si tienes cualquier duda, puedes llamarnos al [Teléfono Empresa].

¡Un saludo!",,,,True,0325B606-60A6-4629-A293-F701357D172F
19,Firma Documento LOPD,"¡Hola [Nombre]!

Te escribimos de [Nombre Empresa].

En cumplimiento de la Ley Orgánica 3/2018, de Protección de Datos Personales, y siguiendo las Recomendaciones e Instrucciones emitidas por la Agencia Española de Protección de Datos (A.E.P.D.), procedemos a enviarte la documentación pertinente. 
Tómate tu tiempo para revisarla y, si estás de acuerdo,te agradecería que la aceptases. 
Simplemente pulsando sobre el siguiente enlace podrás acceder, acepta y firmar el documeto correspondiente. 
[Aceptar Documento]

Una vez hayas finalizado, recibirás en tu correo electrónico una copia en PDF del documento firmado. 

Si tienes cualquier duda, puedes llamarnos al [Teléfono Empresa].

¡Muchas gracias por tu confianza!",,,,True,14C879AA-CD7F-4C36-B189-00564E6EE0E7
20,Firma Consentimiento Informado,"¡Hola [Nombre]!

Te escribimos de [Nombre Empresa].

Te enviamos el consentimiento informado para que lo firmes. Solo tienes que hacer clic en el enlace para verlo. Tómate tu tiempo para leerlo y firmar el documento.

[Aceptar Documento]

Una vez finalizado el proceso, todas las partes recibiremos un correo electrónico con una copia en PDF del documento firmado. 

Si tienes cualquier duda, llámanos al [Teléfono Empresa].

¡Gracias!",,,,True,526E9241-90E8-45A4-A9F8-E39D0EF39315
21,Firma Consentimiento Grabación de Imágenes,"¡Hola [Nombre]!

En cumplimiento del derecho a la propia imagen regulado por la Ley 1/1982, relativo a la protección de las personas físicas, pocedemos a adjuntar la documentación pertinente. 
Tómate tu tiempo para revisarla y aceptarla. 
Simplemente debes pulsar en el siguiente enlace para acceder, aceptar y firmar el documento.

[Aceptar Documento]

Una vez completado el proceso, recibirás en tu correo electrónico una copia en PDF del documento firmado. 
¡Muchas gracias por tu confianza!",,,,True,169A5E79-2AF7-44D5-BCEE-66178EFFF0FA
22,Enviar Informe,"¡Hola [Nombre]!

Te escribimos de [Nombre Empresa].

Te envíamos el informe que nos solicitaste. Para acceder a él pulsa en el siguiente enlace:
[Abrir Documento]

Si tienes cualquier duda, llámanos al [Teléfono Empresa]

¡Muchas gracias!",,,,True,0FC65767-A7F7-4731-9E41-ADDCB43D98C4
23,Enviar Justificante Asistencia,"¡Hola [Nombre]!

Te escribimos de [Nombre Empresa].

Te envíamos el justificante de asistencia que nos has solicitado. Pulsa en el siguiente enlace para verlo.
[Abrir Documento]

Si tienes cualquier duda, puedes llamarnos al [Teléfono Empresa].

¡Muchas gracias!",,,,True,9050695D-031A-457D-B132-66E8FA008CBD
24,Enviar Documento,"¡Hola [Nombre]!

Te escribimos de [Nombre Empresa].

Pulsa en el siguiente enlace para acceder al documento:
[Abrir Documento]

Si tienes cualquier duda, llámanos al [Teléfono Empresa].

¡Muchas gracias!",,,,True,2C621DA5-E97B-405B-9001-1BB86FF4F07B
25,Cuestionario de Salud,"¡Hola [Nombre]!

Te escribimos de [Nombre Empresa].

Pulsa sobre el siguiente enlace para cubrir un breve cuestionario sobre tus datos médicos fundamental para la correcta prestación de nuestro servicio.

[UrlCuestionarios]

Si tienes cualquier duda, puedes llamarnos al [Teléfono Empresa].

¡Muchas gracias!
",,,,True,0D6400FC-D178-4776-8F77-7365BAB1C689
26,Recordatorio Cita con Confirmación,"Hola [Nombre],


Te recordamos tu cita del próximo día [Fecha] a las [Hora] en [Nombre Empresa].



Para confirmar la cita haz clic aquí: [TextoEnlaceConfirmarCita]

Si tienes cualquier duda, llámanos al [Teléfono Empresa].

¡Muchas gracias!",,,,True,8E650B67-E749-43CB-AD13-611D5CBF2ED8
27,Recordatorio Cita con Confirmación/Cancelación,"Hola [Nombre],


Te recordamos tu cita del próximo día [Fecha] a las [Hora] en [Nombre Empresa].



Para confirmar la cita haz clic aquí: [TextoEnlaceConfirmarCita]



Si no puedes acudir por favor cancela la cita desde el siguiente enlace: [TextoEnlaceCancelarCita]

 

Si tienes cualquier duda, llámanos al [Teléfono Empresa].

¡Muchas gracias!",,,,True,0C0E3A35-0442-46CF-83ED-573704D784B4
28,Enviar Recibí de Cobro,"¡Hola [Nombre]!

Te escribimos de [Nombre Empresa].

Te envíamos el recibí de cobro. Pulsa en el siguiente enlace para abrirlo
[Abrir Documento]

Si tienes cualquier duda, puedes llamarnos al [Teléfono Empresa].

¡Muchas gracias!",,,,True,BA6CDD2E-0753-4392-95A9-9311016C2DB6
29,Aviso de Cobro Pendiente,"¡Hola [Nombre]!

Te escribimos de [Nombre Empresa].

Te recordamos que tienes pendiente de abonar un pago por un importe de [Importe] en concepto de [Concepto].

Si tienes cualquier duda, puedes llamarnos al [Teléfono Empresa].

¡Muchas gracias!",,,,True,47687306-FCA7-4818-AEFB-C4F9876C6F2D
