id,idActuacion,origen,tipoDestinatario,tipoRecordatorio,plantilla,idplantilla,plazoEnvio,estado,fechaenvio,remitente,destinatarios
1,240,0,0,0,,100000014,0,0,,,
2,240,0,4,0,,100000014,0,0,,,
3,178,0,0,0,,100000014,0,0,,,
4,178,0,4,0,,100000014,0,0,,,
5,1441,0,0,0,,100000014,0,0,,,
6,1441,0,0,0,,100000014,0,0,,,
7,1442,0,0,0,,100000014,0,0,,,
8,1442,0,0,0,,100000014,0,0,,,
9,1443,0,0,0,,100000014,0,0,,,
10,1444,0,0,0,,100000014,0,0,,,
11,1445,0,0,0,,100000014,0,0,,,
12,1446,0,0,0,,100000014,0,0,,,
13,1447,0,0,0,,100000014,0,0,,,
14,1448,0,0,0,,100000014,0,0,,,
15,1449,0,0,0,,100000014,0,0,,,
16,1451,0,0,0,,100000014,0,0,,,
17,2144,2,0,0,,100000014,6,0,,,
18,1453,0,0,0,,100000014,1,0,,,
23,1459,0,0,1,,100000016,0,0,,,
24,1459,0,0,1,,100000016,2,0,,,
27,1467,0,0,1,,100000016,0,0,,,
28,1467,0,0,1,,100000016,2,0,,,
30,1531,0,0,0,,100000014,6,0,,,
31,1724,0,0,0,,100000014,6,0,,,
33,2053,0,0,0,,100000014,6,0,,,
