id,icodcli,mes,iyearrent,totalIgucalen,sumaIgucalen,totalCuenCli,sumaCuenCli,totalSegCli,sumaSegCli,saldo,tiempoSegCli
1,10,Enero,2007,1,200.0000,1,-200.0000,,,,
2,10,Febrero,2007,1,200.0000,1,-200.0000,5,-207.5000,,
3,10,Marzo,2007,1,200.0000,1,-200.0000,,,,
4,10,Abril,2007,1,200.0000,1,-200.0000,,,,
5,10,Mayo,2007,1,200.0000,1,-200.0000,,,,
6,10,Junio,2007,1,200.0000,1,-200.0000,,,,
7,10,Julio,2007,1,200.0000,1,-200.0000,,,,
8,10,Agosto,2007,1,200.0000,1,-200.0000,,,,
9,10,Septiembre,2007,,,,,,,,
10,10,Octubre,2007,,,,,,,,
11,10,Noviembre,2007,,,,,,,,
12,10,Diciembre,2007,,,,,,,,
13,10,Enero,2009,,,,,,,,
14,10,Febrero,2009,,,,,3,0.0000,,
15,10,Marzo,2009,,,,,,,,
16,10,Abril,2009,,,,,,,,
17,10,Mayo,2009,,,,,,,,
18,10,Junio,2009,,,,,,,,
19,10,Julio,2009,,,,,,,,
20,10,Agosto,2009,,,2,-7500.0000,,,,
21,10,Septiembre,2009,,,,,,,,
22,10,Octubre,2009,,,,,,,,
23,10,Noviembre,2009,,,,,,,,
24,10,Diciembre,2009,,,,,,,,
25,9,Enero,2007,2,850.0000,,,,,,
26,9,Febrero,2007,2,850.0000,,,,,,
27,9,Marzo,2007,2,850.0000,,,,,,
28,9,Abril,2007,2,850.0000,,,,,,
29,9,Mayo,2007,2,850.0000,,,,,,
30,9,Junio,2007,2,850.0000,,,,,,
31,9,Julio,2007,2,850.0000,,,,,,
32,9,Agosto,2007,2,850.0000,,,,,,
33,9,Septiembre,2007,2,850.0000,,,,,,
34,9,Octubre,2007,2,850.0000,,,,,,
35,9,Noviembre,2007,2,850.0000,,,,,,
36,9,Diciembre,2007,2,850.0000,,,,,,
