id,indice,descripcion,meses,dosis,notas
1,326,Hepatitis,0,,
2,326,Hepatitis,2,,
3,326,Hepatitis,4,,
4,326,Hepatitis,6,,
5,326,"Disferia, tétanos y tosferina",2,,
6,326,"Disferia, tétanos y tosferina",4,,
7,326,"Disferia, tétanos y tosferina",6,,
8,326,"Disferia, tétanos y tosferina",48,,
9,326,"Disferia, tétanos y tosferina",132,,
10,326,Haemophilus influenzae tipo b,2,,
11,326,Haemophilus influenzae tipo b,4,,
12,326,Haemophilus influenzae tipo b,6,,
13,326,Poliomielitis,2,,
14,326,Poliomielitis,4,,
15,326,Poliomielitis,6,,
16,326,Meningococo C,2,,
17,326,Meningococo C,4,,
18,326,Meningococo C,12,,
19,326,Meningococo C,132,,
20,326,Neumococo,2,,
21,326,Neumococo,4,,
22,326,Neumococo,6,,
23,326,Neumococo,12,,
24,326,"Sarampión, rubeola y parotiditis",12,,
25,326,"Sarampión, rubeola y parotiditis",24,,
26,326,Virus del papiloma humano,132,,
