id,nombre,modulo,idPlantillaCorreo,rutaPlantillaWord,orden,carpeta,tipo,tipoFormato,idPlantillaOtros,carpetaDoc,insertarCapturadoEnCorreo,previsualizarCorreo,enviarCorreoUnico,casosEnvioCorreo,iCodOpeCuencorreo,iLineaCuencorreo,tiposEnvio,numempresa,idFormulario,idEscala,tipoAccion,deshabilitado,ocultarRapido,idMN,recomendadoMN,oculto
2,Formulario Registro + Firma LOPD Correo,37,2,,20,LOPD,0,0,,,,,,,,,,,,,,,,,,True
4,Firma Consentimiento Informado Correo,37,,Pacientes\1.3 consentimiento informado.doc,0,Consentimientos,0,0,,,False,False,False,,,,,,,,,,,,,True
5,Firma LOPD WhatsApp,37,,Pacientes\1.1 documento lopd.doc,9,LOPD,1,0,10,,False,False,False,,,,,2,,,,,,,,True
6,Firma Consentimiento Informado Whatsapp,37,,Pacientes\1.3 consentimiento informado.doc,7,Consentimientos,1,0,4,,False,False,False,,,,,2,,,,,,,,True
8,Imprimir LOPD,37,,Pacientes\1.1 documento lopd.doc,13,LOPD,2,1,,,False,False,False,,,,,,,,,,,,,True
9,Imprimir Consentimiento Informado,37,,Pacientes\1.3 consentimiento informado.doc,9,Consentimientos,2,1,,,False,False,False,,,,,,,,,,,,,True
11,Valoración,0,,,3,General,0,0,,,,,,,,,,,,,,,,,,True
13,Formulario Registro + Firma LOPD WhatsApp,37,,,10,LOPD,1,0,14,,False,False,False,,,,,2,,,,,,,,True
14,Recordatorio Cita Whatsapp,0,,,2,Recordatorio / Confirmación Cita,1,0,16,,False,False,False,,,,,2,,,,,,,,True
15,Confirmación Cita Whatsapp,0,,,0,Recordatorio / Confirmación Cita,1,0,10,,False,False,False,,,,,2,,,,,,,,True
16,Enviar Justificante Asistencia Correo,0,3,Pacientes\3.1 justificante de asistencia médica.doc,0,Justificante Asistencia,0,1,,,False,False,False,,,,,,,,,,,,,True
17,Informe Correo,37,5,Pacientes\2.2 informe paciente detallado.doc,1,Informes,0,0,,,False,False,False,,,,,,,,,,,,,True
19,Ticket Cita Correo,0,,Pacientes\4.1 ticket cita.doc,0,Ticket Cita,0,1,,,False,False,False,,,,,,,,,,,,,True
20,Imprimir Justificante Asistencia,0,,Pacientes\3.1 justificante de asistencia médica.doc,0,Justificante Asistencia,2,1,,,False,False,False,,,,,,,,,,,,,True
21,Imprimir Ticket de Cita,0,,Pacientes\4.1 ticket cita.doc,0,Ticket Cita,2,1,,,False,False,False,,,,,,,,,,,,,True
22,Imprimir Presupuesto,1,,Clientes\Oportunidades\1.1 presupuesto.doc,2,General,2,1,,,False,False,False,,,,,,,,,,,,,True
23,Aceptar Presupuesto Correo,1,,Clientes\Oportunidades\1.1 presupuesto.doc,4,General,0,1,,,False,False,False,,,,,,,,,,,,,True
24,Aceptar Presupuesto Whatsapp,1,,Clientes\Oportunidades\1.1 presupuesto.doc,4,General,1,0,6,,False,False,False,,,,,2,,,,,,,,True
25,Imprimir Cobro,5,,Gestión de Cobros\recibí (formato a4).doc,3,General,2,1,,,False,False,False,,,,,,,,,,,,,True
26,Imprimir Factura,21,,facturas\oficiales\clientes\1.1 factura oficial.doc,5,General,2,1,,,False,False,False,,,,,,,,,,,,,True
27,Imprimir Informe,37,,Pacientes\2.2 informe paciente detallado.doc,12,Informes,2,1,,,False,False,False,,,,,,,,,,,,,True
28,Formulario Registro + Firma LOPD Correo,30,2,,15,LOPD,0,0,,,,,,,,,,,,,,,,,,True
29,Enviar Compra Correo,51,6,Clientes\Compras\1.1 pedido proveedor.doc,25,General,0,0,,,False,False,False,,,,,,,,,,,,,True
30,Imprimir Compra,51,,Clientes\Compras\1.1 pedido proveedor.doc,14,General,2,1,,,False,False,False,,,,,,,,,,,,,True
31,Firma LOPD WhatsApp,30,,Clientes\1.1 documento lopd.doc,1,LOPD,1,0,10,,False,False,False,,,,,2,,,,,,,,True
32,Imprimir LOPD,30,,Clientes\1.1 documento lopd.doc,7,LOPD,2,1,,,False,False,False,,,,,,,,,,,,,True
33,Aceptar Domiciliación Bancaria Correo,37,,Pacientes\1.5 autorización de domiciliación (para particular).doc,17,Domiciliación Bancaria,0,1,,,False,False,False,,,,,,,,,,,,,True
35,Imprimir Autorización Domiciliación Bancaria,37,,Pacientes\1.5 autorización de domiciliación (para particular).doc,8,Domiciliación Bancaria,2,1,,,False,False,False,,,,,,,,,,,,,True
36,Imprimir Autorización Domiciliación Bancaria,30,,Clientes\1.3 autorización de domiciliación (para particular) (vs20.12).doc,6,Domiciliación Bancaria,2,1,,,False,False,False,,,,,,,,,,,,,True
37,Firma Consentimiento Grabación Imagen WhatsApp,37,,Pacientes\1.2 autorización grabación imágenes (videoconsultas).doc,6,Consentimientos,1,0,4,,False,False,False,,,,,2,,,,,,,,True
