id,scod,sdescripcion
1,01,TALONES - REINTEGROS
2,02,ABONARÉS - ENTREGAS - INGRESOS
3,03,DOMICILIADOS - RECIBOS - LETRAS - PAGOS POR SU CTA.
4,04,GIROS - TRANSFERENCIAS - TRASPASOS - CHEQUES
5,05,"AMORTIZACIONES PRÉSTAMOS, CRÉDITOS, ETC."
6,06,REMESAS EFECTOS
7,07,SUSCRIPCIONES - DIV. PASIVOS - CANJES.
8,08,DIV. CUPONES - PRIMA JUNTA - AMORTIZACIONES
9,09,OPERACIONES DE BOLSA Y/O COMPRA /VENTA VALORES
10,10,CHEQUES GASOLINA
11,11,CAJERO AUTOMÁTICO
12,12,TARJETAS DE CRÉDITO - TARJETAS DÉBITO
13,13,OPERACIONES EXTRANJERO
14,14,DEVOLUCIONES E IMPAGADOS
15,15,NÓMINAS - SEGUROS SOCIALES
16,16,TIMBRES - CORRETAJE - PÓLIZA
17,17,INTERESES - COMISIONES - CUSTODIA - GASTOS E IMPUESTOS
18,98,ANULACIONES - CORRECCIONES ASIENTO
19,99,VARIOS
