id,CodOpe,fecha,ip,navegador,aplicacion
1,1,2024-07-10 19:50:39.483000,92.187.73.207,2,4
2,1,2024-07-10 19:50:41.640000,92.187.73.207,2,4
3,1,2024-07-22 23:09:27.990000,104.28.88.126,0,4
4,1,2024-07-22 23:09:31.303000,104.28.88.126,0,4
5,1,2024-08-01 14:45:00.253000,37.29.199.206,0,4
6,1,2024-08-01 14:45:04.847000,37.29.199.206,0,4
7,1,2024-08-08 13:15:34.290000,104.28.96.154,0,4
8,1,2024-08-08 13:15:36.170000,104.28.96.154,0,4
9,1,2024-08-12 10:42:28.280000,81.202.57.61,0,4
10,1,2024-08-12 10:42:30.560000,81.202.57.61,0,4
11,1,2024-08-14 14:54:19.500000,87.124.175.2,2,4
12,1,2024-08-21 18:28:51.060000,31.4.149.31,2,4
13,1,2024-08-21 18:28:54.700000,31.4.149.31,2,4
14,1,2024-08-23 19:07:14.243000,84.121.76.225,4,4
15,1,2024-08-23 19:07:16.873000,84.121.76.225,4,4
16,1,2024-08-25 22:28:54.280000,90.167.42.193,2,4
17,1,2024-08-25 22:29:05.780000,90.167.42.193,2,4
18,1,2024-08-25 22:29:05.793000,90.167.42.193,2,4
19,1,2024-08-25 22:29:11.373000,90.167.42.193,2,4
20,1,2024-08-25 22:29:13.733000,90.167.42.193,2,4
21,1,2024-08-25 22:29:16.543000,90.167.42.193,2,4
22,1,2024-08-25 22:29:16.577000,90.167.42.193,2,4
23,1,2024-08-25 22:29:16.950000,90.167.42.193,2,4
24,1,2024-08-26 17:02:50.190000,92.187.73.207,0,4
25,1,2024-08-26 17:02:52.440000,92.187.73.207,0,4
26,1,2024-08-27 10:44:42.823000,188.26.215.126,0,4
27,1,2024-08-27 10:44:44.290000,188.26.215.126,0,4
28,1,2024-08-27 16:59:21.727000,92.187.73.207,0,4
29,1,2024-08-27 16:59:23.307000,92.187.73.207,0,4
30,1,2024-08-28 10:06:06.510000,87.124.175.2,4,4
31,1,2024-08-28 10:06:10.073000,87.124.175.2,4,4
32,1,2024-08-28 14:05:16.877000,88.17.171.78,0,4
33,1,2024-08-28 14:05:18.220000,88.17.171.78,0,4
34,1,2024-08-29 19:36:29.570000,170.253.43.162,7,4
35,1,2024-08-29 19:36:35.710000,170.253.43.162,7,4
36,1,2024-09-01 17:53:44.020000,92.187.79.199,0,4
37,1,2024-09-01 17:53:45.507000,92.187.79.199,0,4
38,1,2024-09-02 12:41:37.433000,176.87.123.67,0,4
39,1,2024-09-02 12:41:39.230000,176.87.123.67,0,4
40,1,2024-09-04 09:42:02.010000,2.140.243.205,0,4
41,1,2024-09-04 09:42:03.337000,2.140.243.205,0,4
42,1,2024-09-04 13:39:23.300000,81.202.57.61,7,4
43,1,2024-09-04 13:39:25.177000,81.202.57.61,7,4
44,1,2024-09-08 22:39:16.337000,2.140.243.205,0,4
45,1,2024-09-08 22:39:17.820000,2.140.243.205,0,4
46,1,2024-09-09 08:51:03.307000,31.221.252.180,0,4
47,1,2024-09-09 08:51:04.683000,31.221.252.180,0,4
48,1,2024-09-09 12:04:52.483000,2.140.243.205,0,4
49,1,2024-09-09 12:04:54.310000,2.140.243.205,0,4
50,1,2024-09-09 17:01:17.970000,92.187.73.207,0,4
51,1,2024-09-09 17:01:20.063000,92.187.73.207,0,4
52,1,2024-09-10 11:32:43.700000,81.202.57.61,0,4
53,1,2024-09-10 11:32:45.090000,81.202.57.61,0,4
54,1,2024-09-10 17:07:05.820000,92.187.73.207,0,4
55,1,2024-09-10 17:07:07.087000,92.187.73.207,0,4
56,1,2024-09-10 20:05:06.767000,92.187.73.207,0,4
57,1,2024-09-10 20:05:07.923000,92.187.73.207,0,4
58,1,2024-09-10 20:41:51.630000,87.124.175.2,2,4
59,1,2024-09-10 20:41:54.663000,87.124.175.2,2,4
60,1,2024-09-11 13:23:17.077000,176.83.17.79,0,4
61,1,2024-09-11 13:23:18.673000,176.83.17.79,0,4
62,1,2024-09-11 18:33:59.537000,92.187.73.207,0,4
63,1,2024-09-11 18:34:00.990000,92.187.73.207,0,4
64,1,2024-09-12 17:03:07.717000,92.187.73.207,4,4
65,1,2024-09-12 17:03:10.343000,92.187.73.207,4,4
66,1,2024-09-13 09:00:04.487000,188.26.215.126,0,4
67,1,2024-09-13 09:00:05.910000,188.26.215.126,0,4
68,1,2024-09-13 17:11:34.750000,104.28.34.168,0,4
69,1,2024-09-16 09:24:11.107000,95.127.171.1,0,4
70,1,2024-09-16 09:24:12.797000,95.127.171.1,0,4
71,1,2024-09-16 12:43:57.840000,95.127.171.1,0,4
72,1,2024-09-16 12:43:59.590000,95.127.171.1,0,4
73,1,2024-09-16 13:45:50.520000,95.127.171.1,0,4
74,1,2024-09-16 13:45:51.783000,95.127.171.1,0,4
75,1,2024-09-17 15:52:16.900000,188.26.215.126,0,4
76,1,2024-09-17 15:52:18.277000,188.26.215.126,0,4
77,1,2024-09-17 16:44:27.773000,92.187.73.207,0,4
78,1,2024-09-17 16:44:28.930000,92.187.73.207,0,4
79,1,2024-09-17 18:20:21.893000,92.187.73.207,0,4
80,1,2024-09-17 18:20:23.067000,92.187.73.207,0,4
81,1,2024-09-18 17:07:50.593000,92.187.73.207,2,4
82,1,2024-09-18 17:07:52.813000,92.187.73.207,2,4
83,1,2024-09-19 16:33:55.013000,88.17.171.78,0,4
84,1,2024-09-19 16:33:56.310000,88.17.171.78,0,4
85,1,2024-09-20 18:55:49.540000,176.83.32.5,0,4
86,1,2024-09-20 18:56:01.133000,176.83.32.5,0,4
87,1,2024-09-20 20:14:24.700000,176.83.32.5,0,4
