Nivel1,Nivel2,Nivel3,Nivel4,Cuenta,Descripcion,Importe
1,0,0,0,   ,ACTIVO,
1,1,0,0,   ,A) ACCIONISTAS POR DESEMBOLSOS NO EXIGIDOS,
1,1,1,0,190,ACCIONISTAS POR DESEMBOLSOS NO EXIGIDOS,
1,1,2,0,191,ACCIONISTAS POR DESEMBOLSOS NO EXIGIDOS EMP.GRUPO,
1,1,3,0,192,ACCIONISTAS POR DESEMBOLSOS NO EXIGIDOS EMP.ASOC.,
1,1,4,0,193,ACCIONISTAS POR APORTACIONES NO DINERARIAS PENDTES.,
1,1,5,0,194,ACCIONISTAS POR APORTACIONES NO DINERARIAS PENDTES. EMP.GRUP,
1,1,6,0,195,ACCIONISTAS POR APORTACIONES NO DINERARIAS PENDTES.EMP.ASOC.,
1,1,7,0,196,SOCIOS PARTE NO DESEMBOLSADA,
1,1,8,0,197,SOCIOS APORTACIONES NO DINERARIAS,
1,2,0,0,   ,B) INMOVILIZADO,
1,2,1,0,   ,I. Gastos de establecimiento,
1,2,1,1,200,GASTOS DE ESTABLECIMIENTO,
1,2,1,2,201,GASTOS DE PRIMER ESTABLECIMIENTO,
1,2,1,3,202,GASTOS DE AMPLIACION DE CAPITAL,
1,2,2,0,   ,II. Inmovilizaciones inmateriales,
1,2,2,1,210,GASTOS DE INVESTIGACION Y DESARROLLO,
1,2,2,2,211,CONCESIONES ADMINISTRATIVAS,
1,2,2,3,212,PROPIEDAD INDUSTRIAL,
1,2,2,4,213,FONDO DE COMERCIO,
1,2,2,5,214,DERECHOS DE TRASPASO,
1,2,2,6,215,APLICACIONES INFORMATICAS,
1,2,2,7,217,DERECHOS S/BIENES EN REGIMEN ARRDTO. FINANCIERO,
1,2,2,8,219,ANTICIPOS PARA INMOVILIZACIONES INMATERIALES,
1,2,2,9,281,AMORTIZACION ACUMULADA DEL INMOVILIZADO INMATERIAL,
1,2,2,10,291,PROVISION DEPRECIACION INMOVILIZADO INMATERIAL,
1,2,3,0,   ,III. Inmovilizaciones materiales,
1,2,3,1,220,TERRENOS Y BIENES NATURALES,
1,2,3,2,221,CONSTRUCCIONES,
1,2,3,3,222,INSTALACIONES TECNICAS,
1,2,3,4,223,MAQUINARIA,
1,2,3,5,224,UTILLAJE,
1,2,3,6,225,OTRAS INSTALACIONES,
1,2,3,7,226,MOBILIARIO,
1,2,3,8,227,EQUIPOS PARA PROCESOS DE INFORMACION,
1,2,3,9,228,ELEMENTOS DE TRANSPORTE,
1,2,3,10,229,OTRO INMOVILIZADO MATERIAL,
1,2,3,11,230,ADAPTACION DE TERRENOS Y DE BIENES NATURALES,
1,2,3,12,231,CONSTRUCCIONES EN CURSO,
1,2,3,13,232,INSTALACIONES TECNICAS EN MONTAJE,
1,2,3,14,233,MAQUINARIA EN MONTAJE,
1,2,3,15,237,EQUIPOS PARA PROCESOS INFORMACION EN MONTAJE,
1,2,3,16,239,ANTICIPOS PARA INMOVILIZACIONES MATERIALES,
1,2,3,17,282,AMORTIZACION ACUMULADA DEL INMOVILIZADO MATERIAL,
1,2,3,18,292,PROVISION DEPRECIACION INMOVILIZADO MATERIAL,
1,2,4,0,   ,IV. Inmovilizaciones financieras,
1,2,4,1,240,PARTICIPACIONES EN EMPRESAS DEL GRUPO,
1,2,4,2,241,PARTICIPACIONES EN EMPRESAS ASOCIADAS,
1,2,4,3,242,VALORES DE RENTA FIJA EN EMP.GRUPO,
1,2,4,4,243,VALORES DE RENTA FIJA EN EMP.ASOC.,
1,2,4,5,244,CREDITOS A LARGO PLAZO A EMPRESAS DEL GRUPO,
1,2,4,6,245,CREDITOS A LARGO PLAZO A EMPRESAS ASOCIADOS,
1,2,4,7,246,INTERESES LARGO PLAZO INVERSIONES FINANC.EMP.GRUPO,
1,2,4,8,247,INTERESES LARGO PLAZO INVERSIONES FINANC.EMP.ASOC.,
1,2,4,9,250,INVERSIONES FINANCIERAS PERMANENTES EN CAPITAL,
1,2,4,10,251,VALORES DE RENTA FIJA,
1,2,4,11,252,CREDITOS A LARGO PLAZO,
