Documento,Orden,Etiqueta,EtiquetaPerso,Codigo,version,camponuevo,etiquetanueva
Clientes,0,ActuacionCLIE,ActuacionCLIE,8100,,segcli_dfechaact;segcli_sactuacion;,Historial_Fecha_de_Actuacion;Historial_Actuacion;
Expedientes,0,DirecciónJuzgadoEXPED,DirecciónJuzgadoEXPED,477,,juzgado_direccion__1,Juzgados_Direccion
Expedientes,0,TeléfonoClienteContrario3EXPED,TeléfonoClienteContrario3EXPED,353,,cliecont_telefono__3,Contrarios_Telefono1
Expedientes,0,Colaborador4EXPED,Colaborador4EXPED,89,,colabora_snombrecol__4,Colaboradores_Nombre
Expedientes,0,Teléfono2ProcuradorPropio2EXPED,Teléfono2ProcuradorPropio2EXPED,681,,procpro_telefono2__2,Procuradores_Propios_Telefono2
Expedientes,0,CPostalOrganismo3EXPED,CPostalOrganismo3EXPED,108,,organism_codpostal__3,Organismos_Codigo_Postal
Expedientes,0,RefProcuradorPropio4EXPED,RefProcuradorPropio4EXPED,342,,,
Comunes,16,AñoEXPED,AñoEXPED,77,,,
Expedientes,0,MovilClientePropio3EXPED,MovilClientePropio3EXPED,524,,clientes_smovilcli__3,Clientes_Movil
Expedientes,0,FaxProcuradorPropioEXPED,FaxProcuradorPropioEXPED,403,,procpro_sfaxpro__1,Procuradores_Propios_Fax
Expedientes,0,AbogadoContrarioEXPED,AbogadoContrarioEXPED,75,,abogcont_snombreabo__1,Abogados_Contrarios_Nombre
Expedientes,0,FechaVenciUltActuEXPED,FechaVenciUltActuEXPED,425,,,
Expedientes,0,Teléfono3ColaboradorEXPED,Teléfono3ColaboradorEXPED,643,,colabora_telefono3__1,Colaboradores_Telefono3
Expedientes,0,FaxOrganismoEXPED,FaxOrganismoEXPED,419,,organism_fax__1,Organismos_Fax
Expedientes,0,EmailProcuradorContrario4EXPED,EmailProcuradorContrario4EXPED,306,,proccont_email__4,Procuradores_Contrarios_Correo_Electroni
Expedientes,0,MovilColaboradorEXPED,MovilColaboradorEXPED,530,,colabora_smovilcol__1,Colaboradores_Movil
Expedientes,0,Teléfono3ClienteContrario4EXPED,Teléfono3ClienteContrario4EXPED,628,,cliecont_telefono3__4,Contrarios_Telefono3
