idCampana,codigo,iyear,codsubusu,serie,idAdjunto,idTabla,linea,fecha
1,16,,,,,,,
1,27,,,,,,,
1,22,,,,,,,
1,23,,,,,,,
1,25,,,,,,,
1,29,,,,,,,
1,28,,,,,,,
1,24,,,,,,,
1,26,,,,,,,
1,30,,,,,,,
2,16,,,,,,,
2,27,,,,,,,
2,22,,,,,,,
4,20,2021,0,,,,,
4,21,2021,0,,,,,
4,14,2021,0,,,,,
4,22,2021,0,,,,,
4,23,2021,0,,,,,
4,24,2021,0,,,,,
4,25,2021,0,,,,,
4,26,2021,0,,,,,
4,27,2021,0,,,,,
14,1,,,,,,,
14,6,,,,,,,
14,3,,,,,,,
14,2,,,,,,,
14,5,,,,,,,
14,10,,,,,,,
14,4,,,,,,,
14,11,,,,,,,
14,13,,,,,,,
14,12,,,,,,,
2,23,,,,,,,
2,25,,,,,,,
2,29,,,,,,,
2,28,,,,,,,
2,24,,,,,,,
2,26,,,,,,,
2,30,,,,,,,
3,1,,,,,,,
3,11,,,,,,,
3,6,,,,,,,
3,3,,,,,,,
3,2,,,,,,,
3,5,,,,,,,
3,12,,,,,,,
3,13,,,,,,,
3,10,,,,,,,
3,4,,,,,,,
