idcolumna,idconsulta,codusu,vercolumna,orden,ancho,guidConsulta
2,1,-1,1,0,82,029d0bf3-f332-4322-a9f4-67a6aff9033f
2,2,-1,1,0,83,df10e3b5-96bd-4033-b0f9-e197bf6a81eb
2,3,-1,1,1,80,9f919337-fc52-461e-ad04-a696ec31297b
2,4,-1,1,0,83,059d52fe-073c-45f5-8789-a032ac573a67
2,5,-1,1,0,85,5875a9bb-2d61-4141-a4ca-6dc78854fdce
2,6,-1,1,1,77,55ad389c-db1f-433c-bb80-87ed1543b4f3
2,7,0,1,0,82,029d0bf3-f332-4322-a9f4-67a6aff9033f
2,8,0,1,0,83,df10e3b5-96bd-4033-b0f9-e197bf6a81eb
2,9,0,1,1,80,9f919337-fc52-461e-ad04-a696ec31297b
2,10,0,1,0,83,059d52fe-073c-45f5-8789-a032ac573a67
2,11,0,1,0,85,5875a9bb-2d61-4141-a4ca-6dc78854fdce
2,12,0,1,1,77,55ad389c-db1f-433c-bb80-87ed1543b4f3
2,27,0,1,1,100,30533fd9-dbd6-4e0a-b6dd-27c3613e6ccb
2,111,0,1,1,75,68b53edc-4df1-4725-bec6-d1c823321387
2,112,0,1,1,75,e152e12b-016b-44f6-bb5e-c4d629253707
2,199,0,1,0,122,524803d3-bb03-4dc0-b16e-01a590c60b96
2,232,0,1,1,75,9dfa0b1a-a9cb-4a71-b8f7-a09545a088a7
2,318,0,1,1,100,30533fd9-dbd6-4e0a-b6dd-27c3613e6ccb
2,324,0,1,0,122,a8a0c63d-2cb1-49d5-9b49-35a8102bbaca
2,397,0,1,1,75,87d50ec4-f703-49ab-91cd-c6814674c229
2,398,0,1,1,75,e62f0415-9b8f-4462-98f4-c03b51e7887d
3,1,-1,1,1,74,029d0bf3-f332-4322-a9f4-67a6aff9033f
3,2,-1,1,1,77,df10e3b5-96bd-4033-b0f9-e197bf6a81eb
3,3,-1,1,0,71,9f919337-fc52-461e-ad04-a696ec31297b
3,4,-1,1,1,79,059d52fe-073c-45f5-8789-a032ac573a67
3,5,-1,1,1,76,5875a9bb-2d61-4141-a4ca-6dc78854fdce
3,6,-1,1,0,68,55ad389c-db1f-433c-bb80-87ed1543b4f3
3,7,0,1,1,74,029d0bf3-f332-4322-a9f4-67a6aff9033f
3,8,0,1,1,77,df10e3b5-96bd-4033-b0f9-e197bf6a81eb
3,9,0,1,0,71,9f919337-fc52-461e-ad04-a696ec31297b
3,10,0,1,1,79,059d52fe-073c-45f5-8789-a032ac573a67
3,11,0,1,1,76,5875a9bb-2d61-4141-a4ca-6dc78854fdce
3,12,0,1,0,68,55ad389c-db1f-433c-bb80-87ed1543b4f3
3,27,0,0,44,100,30533fd9-dbd6-4e0a-b6dd-27c3613e6ccb
3,111,0,0,49,83,68b53edc-4df1-4725-bec6-d1c823321387
3,112,0,0,49,83,e152e12b-016b-44f6-bb5e-c4d629253707
3,199,0,0,54,100,524803d3-bb03-4dc0-b16e-01a590c60b96
3,232,0,0,49,83,9dfa0b1a-a9cb-4a71-b8f7-a09545a088a7
3,318,0,0,44,100,30533fd9-dbd6-4e0a-b6dd-27c3613e6ccb
3,324,0,0,57,100,a8a0c63d-2cb1-49d5-9b49-35a8102bbaca
3,397,0,0,49,83,87d50ec4-f703-49ab-91cd-c6814674c229
3,398,0,0,49,83,e62f0415-9b8f-4462-98f4-c03b51e7887d
4,1,-1,1,3,184,029d0bf3-f332-4322-a9f4-67a6aff9033f
4,2,-1,1,3,179,df10e3b5-96bd-4033-b0f9-e197bf6a81eb
4,3,-1,1,3,192,9f919337-fc52-461e-ad04-a696ec31297b
4,4,-1,1,3,154,059d52fe-073c-45f5-8789-a032ac573a67
4,5,-1,1,3,200,5875a9bb-2d61-4141-a4ca-6dc78854fdce
4,6,-1,1,3,185,55ad389c-db1f-433c-bb80-87ed1543b4f3
4,7,0,1,3,184,029d0bf3-f332-4322-a9f4-67a6aff9033f
4,8,0,1,3,179,df10e3b5-96bd-4033-b0f9-e197bf6a81eb
4,9,0,1,3,192,9f919337-fc52-461e-ad04-a696ec31297b
4,10,0,1,3,154,059d52fe-073c-45f5-8789-a032ac573a67
4,11,0,1,3,200,5875a9bb-2d61-4141-a4ca-6dc78854fdce
4,12,0,1,3,185,55ad389c-db1f-433c-bb80-87ed1543b4f3
4,27,0,1,3,200,30533fd9-dbd6-4e0a-b6dd-27c3613e6ccb
4,111,0,1,2,176,68b53edc-4df1-4725-bec6-d1c823321387
4,112,0,1,2,176,e152e12b-016b-44f6-bb5e-c4d629253707
4,199,0,1,3,451,524803d3-bb03-4dc0-b16e-01a590c60b96
4,232,0,1,2,176,9dfa0b1a-a9cb-4a71-b8f7-a09545a088a7
4,318,0,1,3,200,30533fd9-dbd6-4e0a-b6dd-27c3613e6ccb
4,324,0,1,3,451,a8a0c63d-2cb1-49d5-9b49-35a8102bbaca
4,397,0,1,2,176,87d50ec4-f703-49ab-91cd-c6814674c229
4,398,0,1,2,176,e62f0415-9b8f-4462-98f4-c03b51e7887d
5,1,-1,1,5,128,029d0bf3-f332-4322-a9f4-67a6aff9033f
5,2,-1,1,5,109,df10e3b5-96bd-4033-b0f9-e197bf6a81eb
5,3,-1,1,5,131,9f919337-fc52-461e-ad04-a696ec31297b
5,4,-1,1,5,128,059d52fe-073c-45f5-8789-a032ac573a67
5,5,-1,1,5,166,5875a9bb-2d61-4141-a4ca-6dc78854fdce
5,6,-1,1,5,131,55ad389c-db1f-433c-bb80-87ed1543b4f3
5,7,0,1,5,128,029d0bf3-f332-4322-a9f4-67a6aff9033f
5,8,0,1,5,109,df10e3b5-96bd-4033-b0f9-e197bf6a81eb
5,9,0,1,5,131,9f919337-fc52-461e-ad04-a696ec31297b
5,10,0,1,5,128,059d52fe-073c-45f5-8789-a032ac573a67
5,11,0,1,5,166,5875a9bb-2d61-4141-a4ca-6dc78854fdce
5,12,0,1,5,131,55ad389c-db1f-433c-bb80-87ed1543b4f3
5,27,0,1,6,200,30533fd9-dbd6-4e0a-b6dd-27c3613e6ccb
5,111,0,1,3,120,68b53edc-4df1-4725-bec6-d1c823321387
5,112,0,1,3,120,e152e12b-016b-44f6-bb5e-c4d629253707
5,199,0,1,6,219,524803d3-bb03-4dc0-b16e-01a590c60b96
5,232,0,1,3,120,9dfa0b1a-a9cb-4a71-b8f7-a09545a088a7
5,318,0,1,6,200,30533fd9-dbd6-4e0a-b6dd-27c3613e6ccb
5,324,0,1,6,219,a8a0c63d-2cb1-49d5-9b49-35a8102bbaca
5,397,0,1,3,120,87d50ec4-f703-49ab-91cd-c6814674c229
5,398,0,1,3,120,e62f0415-9b8f-4462-98f4-c03b51e7887d
6,1,-1,1,6,40,029d0bf3-f332-4322-a9f4-67a6aff9033f
6,2,-1,1,6,40,df10e3b5-96bd-4033-b0f9-e197bf6a81eb
6,3,-1,1,6,40,9f919337-fc52-461e-ad04-a696ec31297b
6,4,-1,1,6,40,059d52fe-073c-45f5-8789-a032ac573a67
6,5,-1,1,6,40,5875a9bb-2d61-4141-a4ca-6dc78854fdce
6,6,-1,1,6,40,55ad389c-db1f-433c-bb80-87ed1543b4f3
6,7,0,1,6,40,029d0bf3-f332-4322-a9f4-67a6aff9033f
6,8,0,1,6,40,df10e3b5-96bd-4033-b0f9-e197bf6a81eb
6,9,0,1,6,40,9f919337-fc52-461e-ad04-a696ec31297b
6,10,0,1,6,40,059d52fe-073c-45f5-8789-a032ac573a67
6,11,0,1,6,40,5875a9bb-2d61-4141-a4ca-6dc78854fdce
6,12,0,1,6,40,55ad389c-db1f-433c-bb80-87ed1543b4f3
6,27,0,0,71,40,30533fd9-dbd6-4e0a-b6dd-27c3613e6ccb
6,111,0,1,4,40,68b53edc-4df1-4725-bec6-d1c823321387
6,112,0,1,4,40,e152e12b-016b-44f6-bb5e-c4d629253707
6,199,0,0,103,40,524803d3-bb03-4dc0-b16e-01a590c60b96
6,232,0,1,4,40,9dfa0b1a-a9cb-4a71-b8f7-a09545a088a7
