id,tabla,campo,etiqueta,usarEtiquetasIni,propVisualizacion,tiposPlantilla
1,linefact,nombremascota,Nombre Mascota,,bVerMascotas,
2,linefacthono,nombremascota,Nombre Mascota,,bVerMascotas,
3,linefactarticulos,nombremascota,Nombre Mascota,,bVerMascotas,
4,facturas,nombremascota,Nombre Mascota,,bVerMascotas,
5,clientes,paisexpedicion,País de Expedición,,,
6,clientes,tipoidentificacion,Tipo Documento,,,
7,liquidaciones,saldoFilaAbs,Saldo (Absoluto),,,
8,totalescalcint,totalSaldoAbs,Saldo (Absoluto),,,
9,camposCombinados,DIRECCION_DESCRIP_HONOAGRUPADO,,,,#
10,alumpruebasevaluables,alumnopruebaevaluable,Nombre Alumno,,,
11,alumpruebasevaluables,nifalumpruebaevaluable,Nif Alumno,,,
12,alumpruebasevaluables,notamedia,Nota Media,,,
13,alumpruebasevaluables,notamediatexto,Nota Media Texto,,,
14,pruebasevaluables,calificacionletra,Calificación,,,
15,pruebasevaluables,fechapruebaevaluable,Fecha,,,
16,pruebasevaluables,notaspruebaevaluable,Notas,,,
17,pruebasevaluables,periodolectivo,Periodo Lectivo,,,
18,pruebasevaluables,pruebaevaluable,Prueba Evaluable,,,
19,pruebasevaluables,puntuacionpruebaevaluable,Puntuación,,,
20,director,movil,Móvil,,,
21,recetasMedicas,principio,Principio Activo,,,
22,recetasMedicas,periodoVal,Período de Validez (días),,,
24,tratamientopac,numcolegusutratam,Núm. Colegiado Usuario,,,#
25,facturas,iva,IVA %,,,
26,recetasMedicas,prescripcion,Prescripción Extraordinaria,,,
27,director,direncabezado,Encabezado,,,
28,director,dirpiepagina,Pie de Página,,,
29,oporcliserv,direccionTarea,Dirección,,bclipers6,
30,lineprevcobros,importebaseimpmenosdcto,Base Imponible,,,
31,facturas,referencia,Referencia,,,
32,facturas,mesfechafactletra,Mes Factura,,,
33,informeCM,datos,Informe,,,
34,prevcobros,importeEntregado,Importe Entregado,,,
35,prevcobros,importeDevolver,Importe a Devolver,,,
36,facturas,fechaoperacion,Fecha Operación,,,
37,nombreplanificaciontareas,nombreplanificacion,Nombre,,,
38,planificaciontareas,fecha,Fecha,,,
39,planificaciontareas,hora,Hora,,,
40,planificaciontareas,tiempoprevisto,Tiempo Previsto,,,
41,planificaciontareas,descripcion,Descripción,,,
42,planificaciontareas,direccion,Dirección,,,
43,planificaciontareas,nombrecliente,Nombre,,,
44,planificaciontareas,notas,Notas,,,
46,director,codpostal,Código Postal,,,
47,director,email,Correo Electrónico,,,
48,director,direccion,Dirección,,,
49,director,V_IMAGEN1,Logo de Empresa,,,
50,director,nif,NIF/CIF,,,
51,director,snombreprocu,Nombre,,,
52,director,poblacion,Población,,,
53,director,provincia,Provincia,,,
54,director,telefono,Teléfono,,,
55,clientes,textoalerta,Alerta,,,
56,clientes,IBAN,IBAN,,,
57,clientes,scodpostalcli,Código Postal,,,
58,clientes,email,Correo Electrónico,,,
59,clientes,departamento,Departamento,,,
60,clientes,sdomiciliocli,Dirección,,,
61,clientes,edad,Edad,,,
62,clientes,fechanacimiento,Fecha Nacimiento,,,
63,clientes,smovilcli,Móvil,,,
64,clientes,snifcli,NIF/CIF,,,
65,clientes,snombrecli,Nombre,,,
66,clientes,snombreclicomercial,Nombre Comercial,,,
67,clientes,notas,Notas,,,
68,clientes,numcolegiado,Núm Colegiado,,,
69,clientes,codigo,Número,,,
70,clientes,sNombrePais,País,,,
71,clientes,spoblacioncli,Población,,,
72,clientes,mascotasexo,Sexo,,,
73,clientes,stelefonocli,Teléfono 1,,,
74,clientes,tipofichero,Tipo Cliente,,,
75,clientes,telefono2,Teléfono 2,,,#
76,clientes,telefono3,Teléfono 3,,,#
77,clientes,BicSwift,Código BIC/SWIFT,,,#
78,clientes,ctabancocaja,Cta Banco/Caja,,,#
79,clientes,ctaimpagado,Cta Impagado,,,#
80,clientes,ctairpf,Cta IRPF,,,#
81,clientes,ctaiva,Cta IVA/IGIC,,,#
82,clientes,sprovinciacli,Provincia,,,#
83,expedien,iyear,EtiqYearExpediente,1,,
84,expedien,fcuantia,Cuantía,,bVerCuantiaExp,
85,expedien,descripcion,EtiqDescripExpediente,1,,
86,expedien,estado,Estado,,,
87,expedien,dfechaalta,Fecha Alta,,,
88,expedien,dfechacierre,Fecha Cierre,,,
89,expedien,snumasunto,Núm. Autos,,bverjuzga,
90,expedien,expediente,Núm. Expediente,,,
91,expedien,srefcliente,Ref. Expediente,,bVerExpReferencia,
92,expedien,refhisto,Ref. Histórico,,bVerRefHistoExp,
93,expedien,srefabogado,Ref. Propia,,,
94,expedien,nombretodosclientes,Todos los Clientes,,,
95,expedien,nombretodoscontrarios,Todos los Contrarios,,bverficcont,
96,expedien,itipoasunto,Tipo de Asunto,,bVerExpTipoAsun,
97,expedien,itipoexp,Tipo de Expediente,,,
98,expedien,codproce,Tipo de Procedimiento,,bVerExpTipoProc,
99,expedien,nombreusuario,Usuario,,,
100,expedien,NIG,NIG,,,#
101,expedien,notas,Notas,,,#
102,expedien,notas2,notas2,,,#
103,expedien,notas3,notas3,,,#
104,expedien,notas4,notas4,,,#
105,expedien,notas5,notas5,,,#
106,expedien,notas6,notas6,,,#
107,expedien,textoalerta,Alerta,,,#
108,cliadjun,descripcion,Título,,,#
109,cliadjun,fecha,Fecha,,,#
110,cliadjun,imagen,Nombre Adjunto,,,#
111,cliadjun,ubicacion,Ubicación,,,#
112,cliValoresPerfil,1,1,,,
113,cliValoresPerfil,2,2,,,
114,cliValoresPerfil,3,3,,,
115,cliValoresPerfil,4,4,,,
116,cliValoresPerfil,5,5,,,
117,cliValoresPerfil,6,6,,,
118,cliValoresPerfil,7,7,,,
119,cliValoresPerfil,8,8,,,
120,cliValoresPerfil,9,9,,,
121,cliValoresPerfil,10,10,,,
122,cliValoresPerfil,11,11,,,
123,cliValoresPerfil,12,12,,,
124,cliValoresPerfil,13,13,,,
125,cliValoresPerfil,14,14,,,
126,cliValoresPerfil,15,15,,,
127,cliValoresPerfil,16,16,,,
128,cliValoresPerfil,17,17,,,
129,cliValoresPerfil,18,18,,,
130,cliValoresPerfil,19,19,,,
131,cliValoresPerfil,20,20,,,
132,cliValoresPerfil,21,21,,,
133,cliValoresPerfil,22,22,,,
134,cliValoresPerfil,23,23,,,
135,cliValoresPerfil,24,24,,,
136,cliValoresPerfil,25,25,,,
137,cliValoresPerfil,26,26,,,
138,cliValoresPerfil,27,27,,,
139,cliValoresPerfil,28,28,,,
140,cliValoresPerfil,29,29,,,
141,cliValoresPerfil,30,30,,,
142,cliValoresPerfil,31,31,,,
143,cliValoresPerfil,32,32,,,
144,cliValoresPerfil,33,33,,,
145,cliValoresPerfil,34,34,,,
146,cliValoresPerfil,35,35,,,
147,cliValoresPerfil,36,36,,,
148,cliValoresPerfil,37,37,,,
