idAcceso,codOpe,numEmpresa,visible,texto
1,1,1,0,Bases de Datos
1,1,2,0,Bases de Datos
2,1,1,0,Potenciales
2,1,2,0,Potenciales
3,1,1,0,Clientes
3,1,2,0,Clientes
4,1,1,0,Alumnos
4,1,2,0,Alumnos
5,1,1,1,Pacientes
5,1,2,1,Pacientes
6,1,1,0,Expedientes
6,1,2,0,Expedientes
7,1,1,0,Trabajadores
7,1,2,0,Trabajadores
8,1,1,0,Contactos
8,1,2,0,Terceros
9,1,1,0,Proveedores
9,1,2,0,Proveedores
10,1,1,0,Aseguradoras
10,1,2,0,Aseguradoras
11,1,1,0,Mascotas
11,1,2,0,Mascotas
12,1,1,0,Compañías
12,1,2,0,Compañías
13,1,1,0,Voluntarios
13,1,2,0,Voluntarios
14,1,1,0,Financiadores
14,1,2,0,Financiadores
15,1,1,0,Tercera Edad
15,1,2,0,Tercera Edad
16,1,1,0,Ficheros
16,1,2,0,Ficheros
17,1,1,0,Personas de Contactos
17,1,2,0,Contactos
18,1,1,0,Contrarios
18,1,2,0,Contrarios
19,1,1,0,Abogados
19,1,2,0,Abogados
20,1,1,0,Procuradores
20,1,2,0,Procuradores
21,1,1,0,Juzgados
21,1,2,0,Juzgados
22,1,1,0,Poderes
22,1,2,0,Poderes
23,1,1,0,Colaboradores
23,1,2,0,Colaboradores
24,1,1,0,Organismos
24,1,2,0,Organismos
25,1,1,0,Inmuebles
25,1,2,0,Inmuebles
26,1,1,0,Notarías
26,1,2,0,Notarías
27,1,1,0,Promotoras
27,1,2,0,Promotoras
28,1,1,0,Vehículos
28,1,2,0,Vehículos
29,1,1,0,Agencias Inmobiliarias
29,1,2,0,Agencias Inmobiliarias
30,1,1,0,Constructoras
30,1,2,0,Constructoras
31,1,1,0,Proveedores
31,1,2,0,Proveedores
32,1,1,0,Fichero Libre 1
32,1,2,0,Fichero Libre 1
33,1,1,0,Fichero Libre 2
33,1,2,0,Fichero Libre 2
34,1,1,0,Fichero Libre 3
34,1,2,0,Fichero Libre 3
35,1,1,0,Peritos
35,1,2,0,Peritos
36,1,1,0,Talleres
36,1,2,0,Talleres
37,1,1,0,Asegurados
37,1,2,0,Asegurados
38,1,1,0,Colitigantes
38,1,2,0,Colitigantes
39,1,1,0,Agenda
39,1,2,0,Agenda
41,1,1,0,Sincronización Agenda
41,1,2,0,Sincronización Agenda
42,1,1,0,Office 365/Outlook
42,1,2,0,Office 365/Outlook
43,1,1,0,Google Calendar
43,1,2,0,Google Calendar
44,1,1,0,Correo
44,1,2,0,Correo
47,1,1,0,Adjuntos
47,1,2,0,Adjuntos
50,1,1,0,Control de Adjuntos
50,1,2,0,Control de Adjuntos
51,1,1,0,Documentación Interna
51,1,2,0,Documentación Interna
52,1,1,0,Facturación Emitida
52,1,2,0,Facturación Emitida
53,1,1,0,Facturas
53,1,2,0,Facturas
56,1,1,0,Proformas
56,1,2,0,Proformas
59,1,1,0,Presupuestos
59,1,2,0,Presupuestos
62,1,1,0,Albaranes
62,1,2,0,Albaranes
65,1,1,0,Pedidos
65,1,2,0,Pedidos
68,1,1,0,Control de Cuentas
68,1,2,0,Control de Cuentas
69,1,1,0,Cobros
69,1,2,0,Cobros
71,1,1,0,Remesas
71,1,2,0,Remesas
72,1,1,0,Bancos
72,1,2,0,Bancos
73,1,1,0,Facturación Recibida
73,1,2,0,Facturación Recibida
74,1,1,0,Facturas
74,1,2,0,Facturas
75,1,1,0,Albaranes
75,1,2,0,Albaranes
76,1,1,0,Pedidos
76,1,2,0,Pedidos
77,1,1,0,Presupuestos
77,1,2,0,Presupuestos
78,1,1,0,Pagos
78,1,2,0,Pagos
79,1,1,0,Contabilidad
79,1,2,0,Contabilidad
81,1,1,0,Libros/Modelos AEAT
81,1,2,0,Libros/Modelos AEAT
82,1,1,0,Diario
82,1,2,0,Diario
83,1,1,0,Listado del Mayor
83,1,2,0,Listado del Mayor
84,1,1,0,Balances
84,1,2,0,Balances
85,1,1,0,Modelos
85,1,2,0,Modelos
