id,parametro,valor
1,nuevaSelContactos,True
2,agendaVentanaPropia,true
3,correoVentanaPropia,true
4,empresaCitaOnline,1
5,tipoVistaCitaOnline,1
6,enviarCorreoCliCitaOnline,false
7,enviarCorreoCitaOnline,false
8,origenCitaOnline,0
9,idFormularioRegistroCitaOnline,-1
10,mostrarClasesSinPlazas,false
11,mostrarEnlaceVistaCalendario,false
12,mostrarSoloCursosConPlazasCitaOnline,true
13,mostrarFiltroProfesorCitaOnline,true
14,mostrarFiltroTipoExpCitaOnline,true
15,ocultarFiltroProfesional,false
16,mostrarPlazasTotalesCursoCitaOnline,false
17,pagarConTarjetaStripe,false
18,mostrarNumPersonasCitaOnline,false
19,personaContactoCitaOnline,false
20,descontarDeBono,false
21,tiposCursoCitaOnline,
22,tiposClaseCitaOnline,
23,activarVentaCruzada,false
24,formulariosVentaCruzada,[]
25,formulariosCitaOnline,"[{""Id"":0,""Texto"":""Cita Online (Defecto)""},{""Id"":1,""Texto"":""__ConfigReservaOnlineCitas__1__""},{""Id"":2,""Texto"":""__ConfigReservaOnlineCitas__2__""}]"
26,tipoFichaCitaOnline,4
27,crearClientePotencialCita,true
28,iCodOpeCuentaCitaOnlineEnvio,1
29,iLineaCuentaCitaOnlineEnvio,1
30,iCodOpeCuentaCitaOnline,1
31,iLineaCuentaCitaOnline,1
32,ocultarHuecoProfesional,false
33,urlDestinoCitaOnline,
39,camposAlumnoAdicionales,false
40,mostrarBotonReservarCitaOnline,false
41,mostrarAvisoLegalCitaOnline,false
42,textoAvisoLegalCitaOnline,
43,urlwebAvisoLegalCitaOnline,
44,1:empresaCitaOnline,1
45,1:origenCitaOnline,0
46,1:mostrarHuecosTrabajadoresCitaOnline,true
47,1:mostrarHuecosManualesCitaOnline,false
48,1:valorOcultarHuecosDisponMinCitaOnline,30
49,1:valorNoPermitCancelCitaHoraCitaOnline,24
50,1:listaDatosRegistroCitaOnline,nombre;telefono
51,1:mostrarFiltroProfesionalCitaOnline,true
52,1:enviarCorreoCliCitaOnline,true
53,1:enviarCorreoCitaOnline,true
54,1:iCodOpeCuentaCitaOnlineEnvio,1
55,1:iLineaCuentaCitaOnlineEnvio,1
56,1:iCodOpeCuentaCitaOnline,1
57,1:iLineaCuentaCitaOnline,1
58,1:horaNotificacionEmailerCitaOnline,10:00
59,1:colorSeleccion,12609280
60,1:tipoFichaCitaOnline,4
61,1:crearClientePotencialCita,true
62,1:listaTrabajadorConfigHuecosCitaOnline,17;18
63,1:ocultarHuecosDisponiblesMinCitaOnline,false
64,1:noPermitirCancelarCitasHoraCitaOnline,false
65,1:mostrarTiempoPrevistoServicCitaOnline,false
66,1:mostrarPrecioServicioCitaOnline,false
67,1:datosRegAntesMostrarHuecosCitaOnline,false
68,1:mostrarFormularioWebCitaOnline,false
69,1:idFormularioRegistroCitaOnline,-1
70,1:mostrarFiltroCentroCitaOnline,false
71,1:mostrarFiltroEspecialidadCitaOnline,false
72,1:mostrarFiltroAseguradoraCitaOnline,false
73,1:pagarConTarjetaStripe,false
74,1:mostrarHuecosOcupadosCitaOnline,false
75,1:idCampanaNotifEmailerCitaOnline,-1
76,1:activarNotificacionEmailerCitaOnline,false
77,2:empresaCitaOnline,2
78,2:origenCitaOnline,0
79,2:mostrarHuecosTrabajadoresCitaOnline,true
80,2:mostrarHuecosManualesCitaOnline,false
81,2:valorOcultarHuecosDisponMinCitaOnline,30
82,2:valorNoPermitCancelCitaHoraCitaOnline,24
83,2:listaDatosRegistroCitaOnline,nombre;telefono
84,2:mostrarFiltroProfesionalCitaOnline,true
85,2:enviarCorreoCliCitaOnline,true
86,2:enviarCorreoCitaOnline,true
87,2:enviarCorreoCliCitaOnlineCancelada,true
88,2:enviarCorreoCitaCanceladaOnline,true
89,2:iCodOpeCuentaCitaOnlineEnvio,1
90,2:iLineaCuentaCitaOnlineEnvio,1
91,2:iCodOpeCuentaCitaOnline,1
92,2:iLineaCuentaCitaOnline,1
93,2:horaNotificacionEmailerCitaOnline,10:00
94,2:colorSeleccion,12609280
95,2:tipoFichaCitaOnline,4
96,2:crearClientePotencialCita,true
97,2:noPermitirCancelarCitasHoraCitaOnline,false
98,2:enviarCorreoCliCitaOnlineAdelantar,false
99,2:adelantarCitasMasCercanas,false
