idconsulta,Codusu,fechaconsulta,tipoconsulta,nombre,orden,operacion,idtipogestor,campoOrdenacion,basedatos,idcarpeta,campoFecha,desde,hasta,mantenerFecha,campoFechaAnterior,desdeAnterior,hastaAnterior,mantenerFechaAnterior,basedatosAnterior,operacionAnterior,columnaOrden,tipoOrden,guidConsulta,idgrupo,desde2,hasta2,desestimarAnno,paneles,anchoH,anchoV,empresas,maximo,favorito,modoConsultaLlamada,idCuadroMandos,verVistaPreviaDocs,objetivoConsulta,periodo,etiquetaIndicador1,etiquetaIndicador2,etiquetaIndicador3,etiquetaIndicador4,ponderacion,idCampana,notas,categoria,idAvisoCRM,numEmpresa
1,,2012-11-13 17:31:28,1,Actuaciones Realizadas,2,0,1,,,,dfechaact,2012-11-01 17:34:14,2012-11-30 17:34:14,0,,,,,,,Actuacion,2,029d0bf3-f332-4322-a9f4-67a6aff9033f,,,,,,,,,,,,,False,,,,,,,,,,,,
2,,2012-11-30 16:38:39,1,Actuaciones Pendientes,3,0,1,,,,dfechaact,1900-01-01 00:00:00,1900-01-01 00:00:00,1,,,,,,,Actuacion,2,df10e3b5-96bd-4033-b0f9-e197bf6a81eb,,,,,,,,,,,,,False,,3,,,,,,,,,,
3,,2012-11-13 17:31:41,1,Primeras Consultas,4,0,1,,,,dfechaact,1900-01-01 00:00:00,1900-01-01 00:00:00,1,,,,,,,Actuacion,2,9f919337-fc52-461e-ad04-a696ec31297b,,,,,,,,,,,,,False,,3,,,,,,,,,,
4,,2012-11-13 17:31:59,1,Tareas Prioritarias,5,0,1,,,,dfechaact,1900-01-01 00:00:00,1900-01-01 00:00:00,1,,,,,,,clCliente,2,059d52fe-073c-45f5-8789-a032ac573a67,,,,,,,,,,,,,False,,3,,,,,,,,,,
5,,2012-11-13 17:32:10,1,Correos,6,0,1,,,,dfechaact,1900-01-01 00:00:00,1900-01-01 00:00:00,1,,,,,,,Actuacion,2,5875a9bb-2d61-4141-a4ca-6dc78854fdce,,,,,,,,,,,,,False,,3,,,,,,,,,,
6,,2012-11-22 19:08:18,1,Proveedores,7,0,1,,7,,dfechaact,1900-01-01 00:00:00,2050-01-01 00:00:00,1,,,,,,,Actuacion,2,55ad389c-db1f-433c-bb80-87ed1543b4f3,,,,,,,,,,,,,False,,3,,,,,,,,,,
7,0,2012-12-14 12:38:23.713000,0,Actuaciones Realizadas,1,0,-1,,,,dfechaact,2014-01-01 13:08:55.330000,2014-12-31 13:08:55.330000,1,,,,,,,Actuacion,2,c7505840-b2a0-4cd2-982c-227eb765572d,,,,0,,,,,,,,,False,,3,,,,,,,,,,
8,0,2012-12-14 12:38:24.070000,0,Actuaciones Pendientes,2,0,-1,,,,dfechaact,2014-01-01 00:00:00,2014-12-31 00:00:00,1,,,,,,,Actuacion,2,6bad4cf4-4914-42fb-8bfc-4082e16fb565,,,,0,,,,,,,,,False,,3,,,,,,,,,,
9,0,2012-12-14 12:38:24.163000,0,Primeras Consultas,3,0,-1,,,,dfechaact,2014-01-01 00:00:00,2014-12-31 00:00:00,1,,,,,,,Actuacion,2,a42d201c-d989-4e8c-b06d-9ca7a78d5bef,,,,0,,,,,,,,,False,,3,,,,,,,,,,
10,0,2012-12-14 12:38:24.303000,0,Tareas Prioritarias,4,0,-1,,,,dfechaact,2014-01-01 00:00:00,2014-12-31 00:00:00,1,,,,,,,clCliente,2,dc23ef9c-c982-4d45-8808-c13ef8acbe43,,,,0,,,,,,,,,False,,3,,,,,,,,,,
