idconsulta,Codusu,orden,idCarpeta,guidConsulta
7,0,1,,c7505840-b2a0-4cd2-982c-227eb765572d
8,0,2,,6bad4cf4-4914-42fb-8bfc-4082e16fb565
9,0,3,,a42d201c-d989-4e8c-b06d-9ca7a78d5bef
10,0,4,,dc23ef9c-c982-4d45-8808-c13ef8acbe43
11,0,5,,8a0fc6e3-68d2-43be-855b-ca988cbbc565
12,0,6,,b3434f71-4ae7-4b8f-bf70-0a06f58a30fc
18,0,1,,2809e847-a865-4b99-94a6-b254b6ffad5f
19,0,2,,8af0d4b5-5784-4621-84b4-306315b9313e
20,0,3,,d5421411-1a9f-4d8d-a3ec-a360b552dcb4
21,0,4,,3964cb47-d03e-4ef6-9ac2-99924525dc6a
22,0,5,,39564353-91aa-4e51-a440-d4ba0832b7e1
24,0,1,,89574149-a233-4e2c-a217-5fa1e35dfd6e
25,0,1,,b8a5944e-461e-4b8e-9fbf-eff213709816
26,0,1,,6ab19645-c546-4a85-b68a-7d6198ee6a16
43,0,0,,2553df13-e568-4486-aba8-c2f736db28cf
44,0,0,,0a137c4c-95a8-4d3c-ab6d-62007e08ca48
45,0,0,,06570de7-80dd-47d1-a5f7-24d3e7e237dc
46,0,0,,559c3ef9-473c-4178-a74f-30ee8c539456
47,0,0,,b968d1e7-b0e2-4e66-b199-337f6a45aaef
51,0,1,,d04f828e-3032-49af-b8fc-4d02cde1fc66
53,0,1,,8a14f385-b3a6-4b0f-942b-f0e1a7b3e941
54,0,2,,e37acbd0-bf9f-4d56-853f-6c86f33347b8
55,0,3,,66f4e1fc-74c2-4f39-ab67-0e6f35c49c19
56,0,4,,b23ad728-fe29-45e5-b1bc-e643ca56598f
57,0,5,,9cffebc3-7b5b-48fd-a5ae-5ea8e70e005b
58,0,6,,6b650180-db27-4a20-981f-1e9647551747
59,0,1,,8e4bd468-4e99-4ef1-8efe-0852987b4de2
60,0,2,,b007c59f-610b-4ed0-9195-425f1b21911e
61,0,1,,3cadd940-75ec-4867-87be-3fb3e1dabbf8
62,0,1,,673b100a-d807-42d9-80db-e05d3bfd9ffd
63,0,0,,53388fbe-d761-4464-a503-a59f89baaa4f
64,0,3,,2cd7c363-56c8-4045-ba81-da4fe79df758
65,0,0,,522aefda-e555-4449-bd87-044a3f231392
66,0,0,,6cd3e82d-78d9-46ab-ae37-7b440d614d95
67,0,0,,0068b70d-83ed-4843-bad6-64e56e1facc2
68,0,1,,cc09e447-3e09-4fa9-a79f-84decf0d0c0f
69,0,0,,195a6300-16c9-4719-9407-4c19bf2d549e
70,0,0,,e0aa9c87-f2cc-4da0-8b69-cd6977868c61
71,0,0,,3f03feeb-dace-4a76-81c7-6cc9a9e56ac9
72,0,0,,461a03f8-2729-4dfe-bdac-d7cb075e8b43
