tabla,campo,etiqueta,bocultar,orden,formato,bverword
abogados,cuentabanco,CCC Abogado,0,0,,
abogados,email,Correo Electrónico,0,0,,1
abogados,icodabo,Código,1,0,,
abogados,Nacionalidad,Nacionalidad,0,0,,1
abogados,notas,Notas,0,0,rtf,
abogados,numcolegiado,Núm Colegiado,0,,,
abogados,numreferencia,Núm Referencia,0,,,
abogados,pagweb,Página Web,0,0,,
abogados,Perso1,Perso1,1,,,
abogados,Perso10,Perso10,1,,,
abogados,Perso2,Perso2,1,,,
abogados,Perso3,Perso3,1,,,
abogados,Perso4,Perso4,1,,,
abogados,Perso5,Perso5,1,,,
abogados,Perso6,Perso6,1,,,
abogados,Perso7,Perso7,1,,,
abogados,Perso8,Perso8,1,,,
abogados,Perso9,Perso9,1,,,
abogados,PersoFecha1,PersoFecha1,1,,fecha,
abogados,PersoFecha2,PersoFecha2,1,,fecha,
abogados,PersoFecha3,PersoFecha3,1,,fecha,
abogados,PersoLogic1,PersoLogic1,1,,,
abogados,PersoLogic2,PersoLogic2,1,,,
abogados,PersoLogic3,PersoLogic3,1,,,
abogados,PersoLogic4,PersoLogic4,1,,,
abogados,PersoLogic5,PersoLogic5,1,,,
abogados,PersoLogic6,PersoLogic6,1,,,
abogados,PersoNum1,PersoNum1,1,,,
abogados,PersoNum2,PersoNum2,1,,,
abogados,PersoNum3,PersoNum3,1,,,
abogados,PersoNum4,PersoNum4,1,,,
abogados,PersoNum5,PersoNum5,1,,,
abogados,scodpostalabo,Código Postal,0,0,,1
abogados,sdomicilioabo,Dirección,0,0,,1
abogados,sfaxabo,Fax,0,0,,
abogados,smovilabo,Móvil,0,0,,1
abogados,snifabo,NIF/CIF,0,0,,1
abogados,snombreabo,Nombre,0,0,,1
abogados,snombreabodespacho,Nombre Despacho,0,,,
abogados,spoblacionabo,Población,0,0,,1
abogados,sprovinciaabo,Provincia,0,0,,1
abogados,stelefonoabo,Teléfono 1,0,0,,1
abogados,telefono2,Teléfono 2,0,0,,1
abogados,telefono3,Teléfono 3,0,0,,
actpri,acturealizada,Realizada,0,,,
actpri,dfechaact,Fecha Actuación,0,,fecha,
actpri,email,Email,0,,,
actpri,horafin,Hora Fin,0,,hora,
actpri,horainicio,Hora Inicio,0,,hora,
actpri,nombre,Usuario,0,,,
actpri,precio,Precio,0,,,
actpri,sactuacion,Actuación,0,,,
actpri,snombrecli,Cliente,0,,,
actpri,stelefonocli,Teléfono,0,,,
actpri,tipo,Tipo,0,,,
actuaci,acciones,Acciones,0,,,
actuaci,actuenaltas,actuenaltas,1,,,
actuaci,actuenlace,actuenlace,1,,,
actuaci,alertas,alertas,1,,,
actuaci,autoimporte,Autoimporte,1,,,
actuaci,autoimportecuentas,autoimportecuentas,1,,,
actuaci,campo,Campo,1,,,
actuaci,capital,Capital,0,,,
actuaci,clipoten,clipoten,1,,,
actuaci,codigo,Código,1,,,
actuaci,codopeemail,codopeemail,1,,,
actuaci,codopeemailenaltas,codopeemailenaltas,1,,,
actuaci,CodSubUSu,Código Usuario,0,,,
actuaci,conactuenlace,Con Actuación Enlace,1,,,
actuaci,concepto1gr1,concepto1gr1,1,,,
actuaci,concepto1gr2,concepto1gr2,1,,,
actuaci,concepto1gr3,concepto1gr3,1,,,
actuaci,concepto1gr4,concepto1gr4,1,,,
actuaci,concepto2gr1,concepto2gr1,1,,,
actuaci,concepto2gr2,concepto2gr2,1,,,
actuaci,concepto2gr3,concepto2gr3,1,,,
actuaci,concepto2gr4,concepto2gr4,1,,,
actuaci,concepto3gr1,concepto3gr1,1,,,
actuaci,concepto3gr2,concepto3gr2,1,,,
actuaci,concepto3gr3,concepto3gr3,1,,,
actuaci,concepto3gr4,concepto3gr4,1,,,
actuaci,concepto4gr1,concepto4gr1,1,,,
actuaci,concepto5gr1,concepto5gr1,1,,,
actuaci,concodopeemail,concodopeemail,1,,,
actuaci,condcto,Con Documento,1,,,
actuaci,conemail,Con Correo Electrónico,1,,,
actuaci,confechaavi,Con Fecha Aviso,1,,fecha,
actuaci,confechaven,Con Fecha Vencimiento,1,,fecha,
actuaci,contingenciafiscal,Contingencia Fiscal,0,,,
actuaci,CtaProvSupl,Cuenta Provisión/Suplidos,0,,,
actuaci,cuencont,Cuenta Contable,0,,,
actuaci,cuentabanco,Cuenta Banco,0,,,
actuaci,datosescrituras,Datos Escrituras,0,,,
actuaci,dctoenaltas,Doc en Altas,1,,,
actuaci,descripcion,Descripción,0,,,
actuaci,diacobro1gr1,diacobro1gr1,1,,,
actuaci,diacobro1gr2,diacobro1gr2,1,,,
actuaci,diacobro1gr3,diacobro1gr3,1,,,
actuaci,diacobro1gr4,diacobro1gr4,1,,,
actuaci,diacobro2gr1,diacobro2gr1,1,,,
actuaci,diacobro2gr2,diacobro2gr2,1,,,
actuaci,diacobro2gr3,diacobro2gr3,1,,,
actuaci,diacobro2gr4,diacobro2gr4,1,,,
actuaci,diacobro3gr1,diacobro3gr1,1,,,
actuaci,diacobro3gr2,diacobro3gr2,1,,,
actuaci,diacobro3gr3,diacobro3gr3,1,,,
actuaci,diacobro3gr4,diacobro3gr4,1,,,
actuaci,diacobro4gr1,diacobro4gr1,1,,,
actuaci,diacobro5gr1,diacobro5gr1,1,,,
actuaci,dias,Días,1,,,
actuaci,diasfechaact,Días para Siguiente Actuación,1,,fecha,
actuaci,diasfechaavi,Días para Fecha,1,,fecha,
