id,idramo,ipestana,scampo,setiqueta,bvisible,bdesplegable
1,1,0,campo1inf,Matrícula,1,0
2,1,1,campo1gar,R. C. Subscripción Obligatoria,1,1
3,1,0,campo2inf,Nº Bastidor,1,0
4,1,1,campo2gar,R. C. Subscripcion Voluntaria,1,0
5,1,0,campo3inf,Marca,1,1
6,1,1,campo3gar,Asistencia Jurídica,1,1
7,1,0,campo4inf,Modelo,1,0
8,1,1,campo4gar,Daños Propios,1,1
9,1,0,campo5inf,Puertas,1,1
10,1,1,campo5gar,Defensa Jurídica,1,1
11,1,0,campo6inf,Combustible,1,0
12,1,1,campo6gar,Reclamación de Daños,1,1
13,1,0,campo7inf,Versión,1,1
14,1,1,campo7gar,Asistencia en Viaje,1,1
15,1,0,campo8inf,¿Ha comprado el coche ahora?,1,1
16,1,1,campo8gar,R. C. de la Carga,1,1
17,1,0,campo9inf,¿Dónde aparca?,1,1
18,1,1,campo9gar,Lunas,1,1
19,1,0,campo10inf,Uso del coche,1,1
20,1,1,campo10gar,Robo,1,1
21,1,0,campo11inf,Remolque,1,1
22,1,1,campo11gar,Incendio,1,1
23,1,0,campo12inf,Kilómetros Año,1,0
24,1,1,campo12gar,Vehículo de Sustitución,1,1
25,1,0,campo13inf,Fecha Matriculación,1,0
26,1,1,campo13gar,Campo Libre13,0,0
27,1,0,campo14inf,Año Matriculación,1,0
28,1,1,campo14gar,Campo Libre14,0,0
29,1,0,campo15inf,Fecha Compra,1,0
30,1,1,campo15gar,Campo Libre15,0,0
31,1,0,campo16inf,Nº de Coches en Hogar,1,0
32,1,1,campo16gar,Campo Libre16,0,0
33,1,0,campo17inf,Conduce otro vehículo,1,1
34,1,1,campo17gar,Campo Libre17,0,0
35,1,0,campo18inf,Conductor Único,1,1
36,1,1,campo18gar,Campo Libre18,0,0
37,1,0,campo19inf,Partes anteriores a 24 meses,1,1
38,1,1,campo19gar,Campo Libre19,0,0
39,1,0,campo20inf,Multas último año,1,1
40,1,1,campo20gar,Campo Libre20,0,0
41,1,0,campo21inf,Campo Libre21,0,0
42,1,1,campo21gar,Campo Libre21,0,0
43,1,0,campo22inf,Campo Libre22,0,0
44,1,1,campo22gar,Campo Libre22,0,0
45,1,0,campo23inf,Campo Libre23,0,0
46,1,1,campo23gar,Campo Libre23,0,0
47,1,0,campo24inf,Campo Libre24,0,0
48,1,1,campo24gar,Campo Libre24,0,0
49,1,0,campo25inf,Campo Libre25,0,0
50,1,1,campo25gar,Campo Libre25,0,0
51,1,0,campo26inf,Campo Libre26,0,0
52,1,1,campo26gar,Campo Libre26,0,0
53,1,0,campo27inf,Campo Libre27,0,0
54,1,1,campo27gar,Campo Libre27,0,0
55,1,0,campo28inf,Campo Libre28,0,0
56,1,1,campo28gar,Campo Libre28,0,0
57,1,0,campo29inf,Campo Libre29,0,0
58,1,1,campo29gar,Campo Libre29,0,0
59,1,0,campo30inf,Campo Libre30,0,0
60,1,1,campo30gar,Campo Libre30,0,0
61,2,0,campo1inf,Tipo de Vivienda,1,1
62,2,1,campo1gar,Continente,1,0
63,2,0,campo2inf,Es el propietario de vivienda,1,1
64,2,1,campo2gar,Contenido,1,0
65,2,0,campo3inf,Superficie,1,0
66,2,1,campo3gar,Daños Materiales,1,1
67,2,0,campo4inf,Año de construcción,1,0
68,2,1,campo4gar,Robo/Hurto,1,1
69,2,0,campo5inf,¿Se ha rehabilitado la vivienda?,1,1
70,2,1,campo5gar,Daños Estéticos,1,1
71,2,0,campo6inf,Localidad,1,0
72,2,1,campo6gar,Garantías Complementarias,1,1
73,2,0,campo7inf,Situación,1,1
74,2,1,campo7gar,R.C,1,1
75,2,0,campo8inf,Puerta blindada,1,1
76,2,1,campo8gar,Asistencia en el Hogar,1,1
77,2,0,campo9inf,Cristales blindados,1,1
78,2,1,campo9gar,Asistencia Jurídica,1,1
79,2,0,campo10inf,Rejas,1,1
80,2,1,campo10gar,Asistencia en Viaje,1,1
81,2,0,campo11inf,Alarma,1,1
82,2,1,campo11gar,Campo Libre11,0,0
83,2,0,campo12inf,Vigilancia 24 horas,1,1
84,2,1,campo12gar,Campo Libre12,0,0
85,2,0,campo13inf,Continente,1,0
86,2,1,campo13gar,Campo Libre13,0,0
87,2,0,campo14inf,Contenido,1,0
88,2,1,campo14gar,Campo Libre14,0,0
89,2,0,campo15inf,Campo Libre15,0,0
90,2,1,campo15gar,Campo Libre15,0,0
91,2,0,campo16inf,Campo Libre16,0,0
92,2,1,campo16gar,Campo Libre16,0,0
93,2,0,campo17inf,Campo Libre17,0,0
94,2,1,campo17gar,Campo Libre17,0,0
95,2,0,campo18inf,Campo Libre18,0,0
96,2,1,campo18gar,Campo Libre18,0,0
97,2,0,campo19inf,Campo Libre19,0,0
98,2,1,campo19gar,Campo Libre19,0,0
99,2,0,campo20inf,Campo Libre20,0,0
100,2,1,campo20gar,Campo Libre20,0,0
101,2,0,campo21inf,Campo Libre21,0,0
102,2,1,campo21gar,Campo Libre21,0,0
103,2,0,campo22inf,Campo Libre22,0,0
104,2,1,campo22gar,Campo Libre22,0,0
105,2,0,campo23inf,Campo Libre23,0,0
106,2,1,campo23gar,Campo Libre23,0,0
107,2,0,campo24inf,Campo Libre24,0,0
108,2,1,campo24gar,Campo Libre24,0,0
109,2,0,campo25inf,Campo Libre25,0,0
110,2,1,campo25gar,Campo Libre25,0,0
111,2,0,campo26inf,Campo Libre26,0,0
112,2,1,campo26gar,Campo Libre26,0,0
113,2,0,campo27inf,Campo Libre27,0,0
114,2,1,campo27gar,Campo Libre27,0,0
115,2,0,campo28inf,Campo Libre28,0,0
116,2,1,campo28gar,Campo Libre28,0,0
117,2,0,campo29inf,Campo Libre29,0,0
118,2,1,campo29gar,Campo Libre29,0,0
119,2,0,campo30inf,Campo Libre30,0,0
120,2,1,campo30gar,Campo Libre30,0,0
121,3,0,campo1inf,Importe a asegurar,1,0
122,3,1,campo1gar,F. por cualquier causa,1,0
123,3,0,campo2inf,Estatura,1,0
124,3,1,campo2gar,F. accidente,1,0
125,3,0,campo3inf,Peso,1,0
126,3,1,campo3gar,Invalidez por cualquier causa,1,0
127,3,0,campo4inf,Tensión Arterial,1,0
128,3,1,campo4gar,Invalidez por accidente,1,0
129,3,0,campo5inf,Fuma,1,0
130,3,1,campo5gar,Segunda opinión,1,1
131,3,0,campo6inf,Consume bebidas alcohólicas,1,0
132,3,1,campo6gar,Gestión Médica,1,1
133,3,0,campo7inf,Consume estupefacientes,1,0
134,3,1,campo7gar,Anticipos para gastos de sepelio,1,1
135,3,0,campo8inf,He recibido medicación últimamente,1,0
136,3,1,campo8gar,Campo Libre8,0,0
137,3,0,campo9inf,Cuando,1,0
138,3,1,campo9gar,Campo Libre9,0,0
139,3,0,campo10inf,Causa,1,0
140,3,1,campo10gar,Campo Libre10,0,0
141,3,0,campo11inf,Está de baja,1,0
142,3,1,campo11gar,Campo Libre11,0,0
143,3,0,campo12inf,Enfermedad Grave/Trastorno,1,0
144,3,1,campo12gar,Campo Libre12,0,0
145,3,0,campo13inf,Cuál,1,0
146,3,1,campo13gar,Campo Libre13,0,0
147,3,0,campo14inf,Hospitalización/Interv. Quirúrjica,1,0
148,3,1,campo14gar,Campo Libre14,0,0
149,3,0,campo15inf,Cuando,1,0
150,3,1,campo15gar,Campo Libre15,0,0
151,3,0,campo16inf,Causa,1,0
152,3,1,campo16gar,Campo Libre16,0,0
153,3,0,campo17inf,Accidente con Secuelas,1,0
154,3,1,campo17gar,Campo Libre17,0,0
155,3,0,campo18inf,Cuando,1,0
156,3,1,campo18gar,Campo Libre18,0,0
157,3,0,campo19inf,Causa,1,0
158,3,1,campo19gar,Campo Libre19,0,0
159,3,0,campo20inf,Tratamiento Médico,1,0
160,3,1,campo20gar,Campo Libre20,0,0
161,3,0,campo21inf,Cual,1,0
162,3,1,campo21gar,Campo Libre21,0,0
163,3,0,campo22inf,Deporte,1,0
164,3,1,campo22gar,Campo Libre22,0,0
165,3,0,campo23inf,Cual,1,0
166,3,1,campo23gar,Campo Libre23,0,0
167,3,0,campo24inf,Campo Libre24,0,0
168,3,1,campo24gar,Campo Libre24,0,0
169,3,0,campo25inf,Campo Libre25,0,0
170,3,1,campo25gar,Campo Libre25,0,0
171,3,0,campo26inf,Campo Libre26,0,0
172,3,1,campo26gar,Campo Libre26,0,0
173,3,0,campo27inf,Campo Libre27,0,0
174,3,1,campo27gar,Campo Libre27,0,0
175,3,0,campo28inf,Campo Libre28,0,0
176,3,1,campo28gar,Campo Libre28,0,0
177,3,0,campo29inf,Campo Libre29,0,0
178,3,1,campo29gar,Campo Libre29,0,0
179,3,0,campo30inf,Campo Libre30,0,0
180,3,1,campo30gar,Campo Libre30,0,0
181,4,0,campo1inf,Marca,1,1
182,4,1,campo1gar,R. C. Obligatoria,1,1
183,4,0,campo2inf,Cilindrada,1,1
184,4,1,campo2gar,R. C. Voluntaria,1,0
185,4,0,campo3inf,Modelo,1,0
186,4,1,campo3gar,Defensa Jurídica,1,1
187,4,0,campo4inf,Versión,1,0
188,4,1,campo4gar,Reclamación Daños,1,1
189,4,0,campo5inf,¿Ha comprado la moto ahora?,1,1
190,4,1,campo5gar,Seguro Conductor,1,1
191,4,0,campo6inf,¿Dónde aparca la moto?,1,1
192,4,1,campo6gar,Asistencia en Viaje,1,1
193,4,0,campo7inf,Uso de la moto,1,1
194,4,1,campo7gar,Campo Libre7,0,0
195,4,0,campo8inf,Kilómetros año,1,0
196,4,1,campo8gar,Campo Libre8,0,0
197,4,0,campo9inf,Tipo de carné de conducir,1,1
198,4,1,campo9gar,Campo Libre9,0,0
199,4,0,campo10inf,Años sin incidentes,1,0
200,4,1,campo10gar,Campo Libre10,0,0
201,4,0,campo11inf,Campo Libre11,0,0
202,4,1,campo11gar,Campo Libre11,0,0
203,4,0,campo12inf,Campo Libre12,0,0
204,4,1,campo12gar,Campo Libre12,0,0
205,4,0,campo13inf,Campo Libre13,0,0
206,4,1,campo13gar,Campo Libre13,0,0
207,4,0,campo14inf,Campo Libre14,0,0
208,4,1,campo14gar,Campo Libre14,0,0
209,4,0,campo15inf,Campo Libre15,0,0
210,4,1,campo15gar,Campo Libre15,0,0
211,4,0,campo16inf,Campo Libre16,0,0
212,4,1,campo16gar,Campo Libre16,0,0
213,4,0,campo17inf,Campo Libre17,0,0
214,4,1,campo17gar,Campo Libre17,0,0
215,4,0,campo18inf,Campo Libre18,0,0
216,4,1,campo18gar,Campo Libre18,0,0
217,4,0,campo19inf,Campo Libre19,0,0
218,4,1,campo19gar,Campo Libre19,0,0
219,4,0,campo20inf,Campo Libre20,0,0
220,4,1,campo20gar,Campo Libre20,0,0
221,4,0,campo21inf,Campo Libre21,0,0
222,4,1,campo21gar,Campo Libre21,0,0
223,4,0,campo22inf,Campo Libre22,0,0
224,4,1,campo22gar,Campo Libre22,0,0
225,4,0,campo23inf,Campo Libre23,0,0
226,4,1,campo23gar,Campo Libre23,0,0
227,4,0,campo24inf,Campo Libre24,0,0
228,4,1,campo24gar,Campo Libre24,0,0
229,4,0,campo25inf,Campo Libre25,0,0
230,4,1,campo25gar,Campo Libre25,0,0
231,4,0,campo26inf,Campo Libre26,0,0
232,4,1,campo26gar,Campo Libre26,0,0
233,4,0,campo27inf,Campo Libre27,0,0
234,4,1,campo27gar,Campo Libre27,0,0
235,4,0,campo28inf,Campo Libre28,0,0
236,4,1,campo28gar,Campo Libre28,0,0
237,4,0,campo29inf,Campo Libre29,0,0
238,4,1,campo29gar,Campo Libre29,0,0
239,4,0,campo30inf,Campo Libre30,0,0
240,4,1,campo30gar,Campo Libre30,0,0
241,5,0,campo1inf,Importe a asegurar,1,0
