id,seccion,etiqueta,valor
1,Oportunidades,OportunidadesPl,CRM-Presupuestos
2,Oportunidades,OporPredef,CRM-Presupuestos 
3,Oportunidades,OportunidadSg,CRM-Presupuesto
4,Oportunidades,OporTipo,Tipo CRM-Presupuesto
5,Oportunidades,OporImp,Importe CRM-Presupuesto con IVA
6,Oportunidades,OporHora,Hora CRM-Presupuesto
7,Oportunidades,OporFecha,Fecha
8,Oportunidades,OporColectivo,Colectivo CRM-Presupuesto
9,Oportunidades,OporEtapa,Etapa CRM-Presupuesto
10,Oportunidades,OporImpIVA,Importe Venta con IVA CRM-Presupuesto
11,Oportunidades,OporFCierre,Fecha Cierre CRM-Presupuesto
12,Oportunidades,OporFuente,Fuente CRM-Presupuesto
13,Oportunidades,OporFUltimaAbierta,F. Último CRM-Presupuesto Abierto
14,Oportunidades,OporDormido,Dormido CRM-Presupuesto
15,Oportunidades,OporAbiertas,CRM-Presupuestos Abiertos
16,Oportunidades,OporDatosUsu,Datos uso CRM-Presupuestos (%)
17,Oportunidades,OporUsu,Usuario CRM-Presupuesto
18,Oportunidades,OporDesc,Desc CRM-Presupuesto
19,Oportunidades,OporDescrip,Descripción CRM-Presupuesto
20,Oportunidades,OporRel,CRM-Presupuestos Relacionados
21,FormExpPral,ExpAñoNum,Nº /Año Exp
22,FormExpPral,TipoExpTit,Tipo Expediente
23,FormExpPral,ExpUsuario,Usuario Expediente
24,FormExpPral,ExpRefExp,Ref. Propia Expediente
25,FormExpPral,ExpYearExp,Año Expediente
26,FormExpPral,ExpReferExp,Ref. Expediente
27,Tareas,TareasPl,Tareas-Plazos
28,Tareas,TareaPredef,Tareas-Plazos 
29,Tareas,TareaSg,Tarea
30,Tareas,TareaTipo,Tipo Tarea
31,Tareas,TareaImp,Importe Tarea con IVA
32,Tareas,TareaHora,Hora Tarea
33,Tareas,TareaFecha,Fecha Tarea
34,Tareas,TareaColectivo,Colectivo Tarea
35,Tareas,TareaEtapa,Etapa Tarea
36,Tareas,TareaImpIVA,Importe Venta con IVA Tarea
37,Tareas,TareaFCierre,Fecha Cierre Tarea
38,Tareas,TareaFuente,Fuente Tarea
39,Tareas,TareaFUltimaAbierta,F. Último Tarea Abierta
40,Tareas,TareaDormido,Dormido Tarea
41,Tareas,TareaAbiertas,Tareas Abiertas
42,Tareas,TareaDatosUsu,Datos uso Tareas (%)
43,Tareas,TareaUsu,Usuario Tarea
44,Tareas,TareaDesc,Desc Tarea
45,Tareas,TareaDescrip,Descripción Tarea
46,Tareas,TareaRel,Tareas Relacionadas
47,FormJuzPral,fechaAltaNotificacion,Fecha de Alta
48,FormCorConPral,contactoRelacionado,Contactos Relacionados
49,FormCorConPral,clienteRelacionado,Clientes Relacionados
50,CodPerso,clinombrecomercial,Nombre Comercial
51,CodPerso,cliUsuario,Usuario
52,CodPerso,cliUsuarioCli,Usuario Cliente
53,CodPerso,cliFactura,Usuario Factura
54,CodPerso,cliFicha,Usuario Ficha
55,CodPerso,cliActuacion,Usuario Actuación
56,CodPerso,cliFase,Usuario Fase
57,CodPerso,cliOpor,Usuario Opor
58,CodPerso,cliCuentas,Usuario Cuentas
59,CodPerso,cliBono,Usuario Cuentas
60,CodPerso,cliUsuarioTiempo,Tiempo Uso por Usuario
61,CodPerso,cliUsuarioUltimo,Último Usuario
62,Servicios,Servicios,Servicios Contratados
63,CodPerso,moddespachos,0
64,CodPerso,modmura,0
65,CodPerso,ver3dat,0
66,CodPerso,ver4dat,0
