idgrupo,idtipogestor,nombre,consultasql,controleditar,controlresumen,consulta2sql,tipoConsulta,resumenExp,resumenFichero,resumenTodo,llaveExp,llaveFichero,detalleExp,detalleFichero,campoVisualizacion,campoOrdenacion,orden,columnasDashboardPorDefecto,indicadoresDashboardPorDefecto,visible
1,1,Historial General,,GestorConsultas.Forms.frmEditarActuacion,,"Select distinct tipofichero=CASE WHEN clitrabajador=1 THEN 'Trabajador' WHEN clipoten=1 THEN 'Cliente Potencial' WHEN cliotro=1 THEN '' ELSE 'Cliente' END,

			2 as origen,
            
            (CAST(act.icodcli as varchar) + '-' + CAST(act.dfechaact as varchar) + '-' + CAST(act.linea as varchar)) as idAct,
            
            segcli.icodcli as Numero,Null as codigo,null as inumexp,segcli.icodcli as icodcli,segcli.dfechaact as dfechaact,null as iYear,Cast(null as varchar) as tipoexp,segcli.subusu,segcli.dfechaact as Fecha_Act,segcli.linea,

            segcli.sactuacion,segcli.sdescripcion2,segcli.tiempo,segcli.acturealizada,segcli.tipo,

            segcli.precio,segcli.facturado,segcli.dfechaven,segcli.dfechaavi,segcli.dfecharec,segcli.dfechase,segcli.fecharealizacion,segcli.numfactura,segcli.yearfact,C.snombrecli,C.email,segcli.facturable,c.perso88,c.stelefonocli,

            S.nombre as nomsubusu,segcli.tipoactu,segcli.horainiact,segcli.horafinact,segcli.preciocoste,segcli.alertas,cast(null as varchar) as descripcion,segcli.tipohisto,cast(null as varchar) as refpropia,segcli.campo1,segcli.campo2,segcli.campo3, 

            segcli.fase,segcli.campo4,segcli.campo5,segcli.campo7,segcli.campo8,segcli.campo9,segcli.campo10,segcli.campo11,segcli.campo12,segcli.campo13,segcli.campo14,segcli.campo15,segcli.campo16,segcli.dfechanotificacion, 

            cast(0 as integer) as tiempoprevisto, C.nacionalidad, c.sprovinciacli , c.sdomiciliocli, c.spoblacioncli, c.scodpostalcli , NULL as expusu, NULL as itipoexp
from segcli 

            left join clientes C on segcli.icodcli=C.icodcli left join subusu S on segcli.subusu=S.icodsubusu

			where tipoactu not like 'Plan de trabajo'",0,"Select  Count(*)as cantidad, 
			(( CONVERT(VARCHAR,(Sum(act.tiempo) / 3600) ))
			 + ':' + 
			( CONVERT(VARCHAR,((Sum(act.tiempo) % 3600) / 60) ))
			 + ':' + 
			( CONVERT(VARCHAR,((Sum(act.tiempo) % 3600) %60) ))) as TotTiempo,
			Sum(act.precio) as TotPrecio,Sum(act.preciocoste) as TotCoste, 
			(( CONVERT(VARCHAR,(Sum(act.tiempoprevisto) / 3600) ))
			 + ':' + 
			( CONVERT(VARCHAR,((Sum(act.tiempoprevisto) % 3600) / 60) ))
			 + ':' + 
			( CONVERT(VARCHAR,((Sum(act.tiempoprevisto) % 3600) %60) ))) as TotTiempoPrevisto","Select  Count(*) as cantidad, 
			(( CONVERT(VARCHAR,(Sum(act.tiempo) / 3600) ))
			 + ':' + 
			( CONVERT(VARCHAR,((Sum(act.tiempo) % 3600) / 60) ))
			 + ':' + 
			( CONVERT(VARCHAR,((Sum(act.tiempo) % 3600) %60) ))) as TotTiempo,
			Sum(act.precio) as TotPrecio,Sum(act.preciocoste) as TotCoste, 
			(( CONVERT(VARCHAR,(Sum(act.tiempoprevisto) / 3600) ))
			 + ':' + 
			( CONVERT(VARCHAR,((Sum(act.tiempoprevisto) % 3600) / 60) ))
			 + ':' + 
			( CONVERT(VARCHAR,((Sum(act.tiempoprevisto) % 3600) %60) ))) as TotTiempoPrevisto","Select  Count(*) as cantidad, 
			(( CONVERT(VARCHAR,(Sum(act.tiempo) / 3600) ))
			 + ':' + 
			( CONVERT(VARCHAR,((Sum(act.tiempo) % 3600) / 60) ))
			 + ':' + 
			( CONVERT(VARCHAR,((Sum(act.tiempo) % 3600) %60) ))) as TotTiempo,
			Sum(act.precio) as TotPrecio,Sum(act.preciocoste) as TotCoste, 
			(( CONVERT(VARCHAR,(Sum(act.tiempoprevisto) / 3600) ))
			 + ':' + 
			( CONVERT(VARCHAR,((Sum(act.tiempoprevisto) % 3600) / 60) ))
			 + ':' + 
			( CONVERT(VARCHAR,((Sum(act.tiempoprevisto) % 3600) %60) ))) as TotTiempoPrevisto",linea:INT|dfechaact:DATETIME|iyear:INT|inumexp:INT,linea:INT|icodcli:INT|dfechaact:DATETIME,"select notas, notas2, notas3, notas4, notas5, notas6
from segcli","select notas, notas2, notas3, notas4, notas5, notas6
from segcli",,Actuacion,,,,True
4,2,Oportunidades,,GestorConsultas.frmEditarOportunidad,,"select distinct tipofichero=CASE WHEN clitrabajador=1 THEN 'Trabajador'WHEN clipoten=1 THEN 'Cliente Potencial' WHEN cliotro=1 THEN 'formmain.sotros' ELSE 'Cliente' END,
oporcli.icodcli, oporcli.dfecha, oporcli.linea, oporcli.icodopor, oporcli.icodusu,
oporcli.icodpro, oporcli.estado,oporcli.etapa, oporcli.tipo, oporcli.codigo, oporcli.fuente, oporcli.unidades,
oporcli.precio,oporcli.probabilidad,oporcli.prevision,oporcli.fechacierre,oporcli.importecierre,oporcli.oferta,
oporcli.referencia,oporcli.oportunidad,subusu.nombre as subusuario, clientes.snombrecli as cliente, 
clientes.stelefonocli as CliTfo1,clientes.telefono2 as CliTfo2,clientes.telefono3 as CliTfo3, 
clientes.smovilcli as CliMvl,clientes.email as CliMail, 
oporcli.CampoNum1,oporcli.CampoNum2,oporcli.CampoNum3,oporcli.CampoNum4,oporcli.CampoNum5,oporcli.Campo1,oporcli.Campo2,oporcli.Campo3,oporcli.Campo4,oporcli.Campo5,oporcli.Campo6,oporcli.Campo7,oporcli.Campo8,oporcli.Campo9,oporcli.Campo10,
oporcli.Campo11,oporcli.Campo12,oporcli.Campo13,oporcli.Campo14,oporcli.Campo15,oporcli.Campo16,oporcli.Campo17,oporcli.Campo18,oporcli.Campo19,oporcli.Campo20,oporcli.Campo21,oporcli.CampoFecha1,oporcli.CampoFecha2,oporcli.CampoFecha3,
oporcli.CampoFecha4,oporcli.CampoFecha5,oporcli.CampoFecha6,oporcli.CampoFecha7,oporcli.CampoFecha8,clientes.nacionalidad 
from oporcli 
left join subusu on subusu.icodsubusu = oporcli.icodusu 
left join clientes on clientes.icodcli = oporcli.icodcli",0,,,"select 
count(*) as cantidad ,
sum(precio) as PrecioTotal,
sum(unidades) as Unidades,
sum(importecierre) as ImporteCierre,
sum(prevision) as PrevisionTotal",icodcli:INT|icodopor:INT|linea:INT|dfecha:DATETIME,,,"select notas, notas2, notas3, notas4, notas5, notas6
from oporcli",,snombrecli,0,,,True
6,3,Cuentas,,,,,0,,,,,,,,,cliente,1,,,True
11,5,Vencimiento,,GestorConsultas.frmEditarVencimiento,,,0,,,,,,,,,cliente,0,,,True
12,4,Obligaciones,,"Comun.frmEditarObligacion,Comun",,,0,,,,,,,,,cliente,0,,,True
13,6,Cobros,,,,,0,,,,,,,,,cliente,,,,True
19,7,PIAs,,GestorConsultas.Forms.frmEditarActuacion,,,0,,,,,,"select notas, notas2, notas3, notas4, notas5, notas6
from segcli",,,Actuacion,0,,,True
20,8,Cobros,,,,,0,,,,,,,,,paciente,0,,,True
24,12,Medicación,,GestorConsultas.frmEditarMedicacion,,,0,,,,,,,,,Nombre,0,,,True
34,6,Conceptos,,,,,0,,,,,,,,,,0,,,True
