idbasedato,campo,parteSql
1,abocontrario,Cont.snombreabo
1,abopropio,Prop.snombreabo
1,acturealizada,act.acturealizada
1,agenda,agenda
1,alertas,act.alertas
1,campo1,act.campo1
1,campo10,act.campo10
1,campo11,act.campo11
1,campo12,act.campo12
1,campo13,act.campo13
1,campo14,act.campo14
1,campo15,act.campo15
1,campo16,act.campo16
1,campo17,act.campo17
1,campo18,act.campo18
1,campo2,act.campo2
1,campo3,act.campo3
1,campo4,act.campo4
1,campo5,act.campo5
1,campo6,act.campo6
1,campo7,act.campo7
1,campo8,act.campo8
1,campo9,act.campo9
1,campofecha1,act.campofecha1
1,campofecha10,act.campofecha10
1,campofecha11,act.campofecha11
1,campofecha12,act.campofecha12
1,campofecha2,act.campofecha2
1,campofecha3,act.campofecha3
1,campofecha4,act.campofecha4
1,campofecha5,act.campofecha5
1,campofecha6,act.campofecha6
1,campofecha7,act.campofecha7
1,campofecha8,act.campofecha8
1,campofecha9,act.campofecha9
1,cargo,null
1,clicampo6,null
1,codabopropio,Prop.icodabo
1,codcontrario,E.codcontrario
1,codigo,"CONVERT( VARCHAR, segexp.inumexp)"
1,codproce,E.codproce
1,contrario,CliCont.snombreclicon
1,descripcion,E.descripcion
1,dfechaact,act.dfechaact
1,dfechaavi,act.dfechaavi
1,dfechanotificacion,act.dfechanotificacion
1,dfecharec,act.dfecharec
1,dfechase,act.dfechase
1,dfechaven,act.dfechaven
1,email,C.email
1,expusu,E.codsubusu
1,facturable,act.facturable
1,facturado,act.facturado
1,fecharealizacion,act.fecharealizacion
1,horafinact,act.horafinact
1,horainiact,act.horainiact
1,icodcli,E.codcliente
1,idcentros,E.idcentros
1,idexp,"Convert(varchar(50), segexp.inumexp) + '&' +  Convert(varchar(50), segexp.iyear)"
1,inumexp,act.inumexp
1,itipoasunto,itipoasunto
1,itipoexp,itipoexp
1,iyear,act.iyear as iYear
1,linea,act.linea
1,nacionalidad,cast(null as varchar)
1,nombrecentro,centrospredef.sdescripcion
1,nomsubusu,S.nombre
1,numero,E.expediente
1,numexp,E.expediente
1,numfactura,act.numfactura
1,oportunidad,null
1,origen,1
1,origencli,C.origen
1,perso88,act.campo16
1,precio,act.precio
1,preciocoste,act.preciocoste
1,procedimiento,procedimiento
1,refpropia,e.srefabogado
1,sactuacion,act.sactuacion
1,sdescripcion2,act.sdescripcion2
1,sfaxcli,null
1,smovilcli,c.smovilcli
1,snombrecli,C.snombrecli
1,sprovinciacli,cast(null as varchar)
1,srefcliente,e.srefcliente
1,stelefonocli,c.stelefonocli
1,subusu,act.subusu
1,telefono2,c.telefono2
1,telefono3,c.telefono3
1,tiempo,act.tiempo
1,tiempoprevisto,act.tiempoprevisto
1,tipo,act.tipo
1,tipoactu,act.tipoactu
1,tipoasunto,tipoasun.tipoasunto
1,tipocliente,null
1,tipoexp,tipoexp.tipoexp
1,tipofichero,tipoficherocli.tipofichero
1,tipohisto,act.tipohisto
1,yearfact,act.yearfact
1,zona,null
2,abocontrario,null
2,abopropio,null
2,acturealizada,act.acturealizada
2,agenda,agenda
2,alertas,act.alertas
2,campo1,act.campo1
2,campo10,act.campo10
2,campo11,act.campo11
2,campo12,act.campo12
2,campo13,act.campo13
2,campo14,act.campo14
2,campo15,act.campo15
2,campo16,act.campo16
2,campo17,act.campo17
2,campo18,act.campo18
2,campo2,act.campo2
2,campo3,act.campo3
2,campo4,act.campo4
2,campo5,act.campo5
2,campo6,act.campo6
2,campo7,act.campo7
2,campo8,act.campo8
2,campo9,act.campo9
2,campofecha1,act.campofecha1
2,campofecha10,act.campofecha10
2,campofecha11,act.campofecha11
2,campofecha12,act.campofecha12
2,campofecha2,act.campofecha2
2,campofecha3,act.campofecha3
2,campofecha4,act.campofecha4
2,campofecha5,act.campofecha5
2,campofecha6,act.campofecha6
2,campofecha7,act.campofecha7
2,campofecha8,act.campofecha8
2,campofecha9,act.campofecha9
2,cargo,C.Cargo
2,clicampo6,C.campo6
2,codabopropio,null
2,codcontrario,null
2,codigo,C.codigo
2,codproce,null
2,contrario,null
2,descripcion,cast(null as varchar)
2,dfechaact,act.dfechaact
2,dfechaavi,act.dfechaavi
2,dfechanotificacion,act.dfechanotificacion
2,dfecharec,act.dfecharec
2,dfechase,act.dfechase
2,dfechaven,act.dfechaven
2,email,C.email
2,expusu,NULL
2,facturable,act.facturable
2,facturado,act.facturado
2,fecharealizacion,act.fecharealizacion
2,horafinact,act.horafinact
2,horainiact,act.horainiact
2,icodcli,act.icodcli
2,idcentros,C.idcentros
2,idexp,null
2,inumexp,null as inumexp
2,itipoasunto,null
2,itipoexp,NULL
2,iyear,null as iyear
2,linea,act.linea
2,nacionalidad,C.nacionalidad
2,nombrecentro,centrospredef.sdescripcion as nombrecentro
2,nomsubusu,S.nombre
2,numero,act.icodcli
2,numexp,null
2,numfactura,act.numfactura
2,oportunidad,(select oportunidad from advAboUsu[empresa].dbo.oporcli where oporcli.icodopor = segcli.icodopor)
2,origen,2
2,origencli,C.origen
2,perso88,c.perso88
2,precio,act.precio
2,preciocoste,act.preciocoste
2,procedimiento,null
2,refpropia,cast(null as varchar)
2,sactuacion,act.sactuacion
2,sdescripcion2,act.sdescripcion2
2,sfaxcli,C.sfaxcli
2,smovilcli,c.smovilcli
2,snombrecli,C.snombrecli
2,sprovinciacli,C.sprovinciacli
2,srefcliente,cast(null as varchar)
2,stelefonocli,c.stelefonocli
2,subusu,act.subusu
2,telefono2,c.telefono2
2,telefono3,c.telefono3
2,tiempo,act.tiempo
2,tiempoprevisto,act.tiempoprevisto
2,tipo,act.tipo
2,tipoactu,act.tipoactu
2,tipoasunto,null
2,tipocliente,C.tipofichero
2,tipoexp,Cast(null as varchar)
2,tipofichero,tipoficherocli.tipofichero
2,tipohisto,act.tipohisto
2,yearfact,act.yearfact
2,zona,C.zona
3,campo1,oporcli.campo1
3,campo10,oporcli.campo10
3,campo11,oporcli.campo11
3,campo12,oporcli.campo12
3,campo13,oporcli.campo13
3,campo14,oporcli.campo14
3,campo15,oporcli.campo15
3,campo16,oporcli.campo16
3,campo17,oporcli.campo17
3,campo18,oporcli.campo18
3,campo19,oporcli.campo19
3,campo2,oporcli.campo2
3,campo20,oporcli.campo20
3,campo21,oporcli.campo21
3,campo3,oporcli.campo3
3,campo4,oporcli.campo4
3,campo5,oporcli.campo5
3,campo6,oporcli.campo6
3,campo7,oporcli.campo7
3,campo8,oporcli.campo8
3,campo9,oporcli.campo9
3,camponum1,oporcli.camponum1
3,camponum2,oporcli.camponum2
3,camponum3,oporcli.camponum3
3,camponum4,oporcli.camponum4
3,camponum5,oporcli.camponum5
3,climail,clientes.email
3,climvl,clientes.smovilcli
3,clitfo1,clientes.stelefonocli
3,clitfo2,clientes.telefono2
3,clitfo3,clientes.telefono3
3,codigo,oporcli.codigo
3,dfecha,oporcli.dfecha
3,edad,"cast( isnull(convert( int, case when oporcli.campofecha1 is null then -5000  else case when fechacierre is null then convert( int, datediff(day, getdate(), 
oporcli.campofecha1)) else convert( int, datediff(day, oporcli.campofecha1, fechacierre)) end end), -5000) as int)"
3,estado,oporcli.estado
3,etapa,oporcli.etapa
3,fechacierre,oporcli.fechacierre
3,fechanacimiento,clientes.fechanacimiento
3,fuente,oporcli.fuente
3,hora,hora
3,icodcli,oporcli.icodcli
3,icodopor,oporcli.icodopor
3,icodpro,oporcli.icodpro
3,icodusu,oporcli.icodusu
3,idcentros,clientes.idcentros
3,importecierre,oporcli.importecierre
3,linea,oporcli.linea
3,nacionalidad,clientes.nacionalidad
3,nombrecentro,centrospredef.sdescripcion
3,oferta,oporcli.oferta
3,oporcli.campofecha1,oporcli.campofecha1
3,oporcli.campofecha2,oporcli.campofecha2
3,oporcli.campofecha3,oporcli.campofecha3
3,oporcli.campofecha4,oporcli.campofecha4
3,oporcli.campofecha5,oporcli.campofecha5
3,oporcli.campofecha6,oporcli.campofecha6
3,oporcli.campofecha7,oporcli.campofecha7
3,oporcli.campofecha8,oporcli.campofecha8
3,oportunidad,oporcli.oportunidad
3,perso88,perso88
3,precio,oporcli.precio
3,prevision,oporcli.prevision
3,probabilidad,oporcli.probabilidad
3,referencia,oporcli.referencia
3,snombrecli,clientes.snombrecli
3,subusuario,subusu.nombre as subusuario
3,tipo,oporcli.tipo
3,tipofichero,tipoficherocli.tipofichero
3,unidades,oporcli.unidades
