idEscritorio,elemento,seccion,orden
1,Agenda,1,1
1,AgendaLista,6,1
1,ArticulosPredefinidos,12,1
1,Cliente,7,1
1,Contactos,11,4
1,Correo,2,1
1,Mutua,5,1
1,Paciente,3,1
1,Potencial,11,3
1,Proveedor,10,1
1,SuplidosPredefinidos,12,2
1,Tercero,11,2
1,Trabajador,11,1
2,AccesosCloud,2,1
2,ActuacionesPredefinidas,6,1
2,ConfiguracionesGenerales,1,1
2,GestionPermisos,3,1
2,GestionSesiones,4,1
3,Agenda,1,1
3,AgendaLista,6,1
3,ArticulosPredefinidos,12,1
3,Cliente,7,1
3,Contactos,11,4
3,Correo,2,1
3,FirmasPendientes,13,1
3,Mutua,5,1
3,Oportunidades,12,1
3,Paciente,3,1
3,Potencial,11,3
3,Proveedor,10,1
3,SuplidosPredefinidos,12,2
3,Tercero,11,2
3,Trabajador,11,1
4,AccesosCloud,2,1
4,ActuacionesPredefinidas,6,1
4,ConfiguracionesGenerales,1,1
4,GestionPermisos,3,1
4,GestionSesiones,4,1
