codigo,modelo,tabla,listcampos,listetiquetas,listtablas,listalias,listjoin,tipo,subtipo
2,Datos Generales,cliecont,"snombreclicon,nifclicon,domicilio,poblacion,codpostal,provincia,email,pagweb,telefono,telefono2,movil,fax",,,,,,
3,Datos Generales,abogados,"snombreabo,snifabo,sdomicilioabo,spoblacionabo,scodpostalabo,sprovinciaabo,email,pagweb,stelefonoabo,telefono2,smovilabo,sfaxabo",,,,,,
4,Datos Generales,procurad,"snombrepro,snifpro,sdomiciliopro,spoblacionpro,scodpostalpro,sprovinciapro,email,pagweb,stelefonopro,telefono2,smovilpro,sfaxpro",,,,,,
6,Datos Generales,contacto,"nombre,nif,domicilio,poblacion,codpostal,provincia,email1,pagweb,telefono1,telefono2,movil,fax",,,,,,
7,Datos Generales,colabora,"snombrecol,snifcol,sdomiciliocol,spoblacioncol,scodpostalcol,sprovinciacol,email,pagweb,stelefonocol,telefono2,smovilcol,sfaxcol",,,,,,
8,Datos Generales,juzgado,"juzgado,direccion,poblacionjuz,codpostal,provincia,email,pagweb,telefono,telefono2,fax",,,,,,
9,Datos Generales,organism,"nombre,cif,domicilio,poblacion,codpostal,provincia,email,pagweb,telefono,telefono2,fax",,,,,,
10,Datos Generales,bancos,"banco,nifcif,direccion,poblacion,codpostal,provincia,email,pagweb,telefono1,telefono2,fax",,,,,,
11,Historial,segdia,"Fecha_Act,sactuacion,fecharealizacion,nomsubusu,horafinact,horainiact,TIEMPOHORA,precio,snombrecli,Numero,iYear,tipoexp",,,,,,
15,Historial por Expediente,expres2,"expediente,iyear,subusu,dfechaact,sactuacion,fecharealizacion,tiempo,precio",,,,,,
17,Poderes,poderes,"dfechapoder,notarial,snotario,notas,codigo,numproto,stipopoder",,,,,,
19,Suplidos,suplidos,"cuenta,descripcion",,,,,,
20,Honorarios,derechos,"descripcion,orden,Importe",,,,,,
21,Actuaciones,actuaci,"descripcion,Orden,Referencia,importe",,,,,,
23,Tipos de Asunto,tipoasun,"codigo,tipoasunto",,,,,,
24,Tipos de Expediente,tipoexp,"codigo,contador,tipoexp",,,,,,
25,Tipos de Procedimiento,procedi,"codproce,procedimiento",,,,,,
28,Historial,expedien,"segexp.dfechaact,segexp.sactuacion,segexp.fecharealizacion,segexp.subusu,segexp.horainiact,segexp.horafinact,segexp.tiempo,segexp.precio,clientes.codigo,clientes.snombrecli,expedien.expediente,expedien.iyear,expedien.descripcion,expedien.notas","Expedientes,Clientes,Contrarios,""Abogados Propios"",""Procuradores Propios"",""Abogados Contrarios"",""Procuradores Contrarios"",Colaboradores,Organismos,Juzgados,""Tipos de Procedimiento"",""Tipos de Asunto"",""Tipos de Expediente"",Usuarios,Inmuebles,Notarías,Promotoras,Perso4,""Agencias Inmobiliarias"",Constructoras,Peritos,Talleres,Seguimiento,Cuentas","expedien,clientes,cliecont,abogados,procurad,abogados,procurad,colabora,organism,juzgado,procedi,tipoasun,tipoexp,subusu,perso1,perso2,perso3,perso4,perso5,perso7,peritos,talleres,segexp,cuenexpe","expedien,clientes,cliecont,abogadopropio,procuradorpropio,abogadoscontrarios,procuradcontrario,colabora,organism,juzgado,procedi,tipoasun,tipoexp,subusu,perso1,perso2,perso3,perso4,perso5,perso7,peritos,talleres,segexp,cuenexpe","""left join clientes as clientes on expedien.codcliente=clientes.icodcli""",,
29,Historial por Cliente,expedien,"clientes.codigo,clientes.snombrecli,expedien.descripcion,subusu.nombre,segexp.dfechaact,segexp.sactuacion,segexp.fecharealizacion,segexp.tiempo,segexp.precio,expedien.expediente,expedien.iyear,segexp.subusu,segexp.notas","Expedientes,Clientes,Contrarios,""Abogados Propios"",""Procuradores Propios"",""Abogados Contrarios"",""Procuradores Contrarios"",Colaboradores,Organismos,Juzgados,""Tipos de Procedimiento"",""Tipos de Asunto"",""Tipos de Expediente"",Usuarios,Inmuebles,Notarías,Promotoras,Perso4,""Agencias Inmobiliarias"",Constructoras,Peritos,Talleres,Seguimiento,Cuentas","expedien,clientes,cliecont,abogados,procurad,abogados,procurad,colabora,organism,juzgado,procedi,tipoasun,tipoexp,subusu,perso1,perso2,perso3,perso4,perso5,perso7,peritos,talleres,expadjun,segexp,cuenexpe","expedien,clientes,cliecont,abogadopropio,procuradorpropio,abogadoscontrarios,procuradcontrario,colabora,organism,juzgado,procedi,tipoasun,tipoexp,subusu,perso1,perso2,perso3,perso4,perso5,perso7,peritos,talleres,expadjun,segexp,cuenexpe","""left join clientes as clientes on expedien.codcliente=clientes.icodcli"",""left join subusu as subusu on expedien.codsubusu=subusu.icodsubusu""",,
