Nivel1,Nivel2,Nivel3,Nivel4,Nivel5,Nivel6,Cuenta,Descripcion,Importe
1,1,0,0,0,0,,A) OPERACIONES CONTINUADAS,
1,1,1,0,0,0,,1. Importe neto de la cifra de negocios,
1,1,1,1,0,0,,a) Ventas,
1,1,1,1,1,0,700,Ventas de mercaderías,
1,1,1,1,2,0,701,Ventas de productos terminados,
1,1,1,1,3,0,702,Ventas de productos semiterminados,
1,1,1,1,4,0,703,Ventas de subproductos y residuos,
1,1,1,1,5,0,704,Ventas de envases y embalajes,
1,1,1,1,6,0,7060,Descuentos sobre ventas por pronto pago de mercaderías,
1,1,1,1,7,0,7061,Descuentos sobre ventas por pronto pago de productos terminados,
1,1,1,1,8,0,7062,Descuentos sobre ventas por pronto pago de productos semiterminados,
1,1,1,1,9,0,7063,Descuentos sobre ventas por pronto pago de subproductos y residuos,
1,1,1,1,10,0,7080,Devoluciones de ventas de mercaderías,
1,1,1,1,11,0,7081,Devoluciones de ventas de productos terminados,
1,1,1,1,12,0,7082,Devoluciones de ventas de productos semiterminados,
1,1,1,1,13,0,7083,Devoluciones de ventas de subproductos y residuos,
1,1,1,1,14,0,7084,Devoluciones de ventas de envases y embalajes,
1,1,1,1,15,0,7090,"""Rappels"" sobre ventas de mercaderías",
1,1,1,1,16,0,7091,"""Rappels"" sobre ventas de productos terminados",
1,1,1,1,17,0,7092,"""Rappels"" sobre ventas de productos semiterminados",
1,1,1,1,18,0,7093,"""Rappels"" sobre ventas de subproductos y residuos",
1,1,1,1,19,0,7094,"""Rappels"" sobre ventas de envases y embalajes",
1,1,1,2,0,0,,b) Prestaciones de servicios,
1,1,1,2,1,0,705,Prestaciones de servicios,
1,1,2,0,0,0,,2. Variación de existencias de productos terminados y en curso de fabricación,
1,1,2,1,0,0,6930,Pérdidas por deterioro de productos terminados y en curso de fabricación,
1,1,2,2,0,0,710,Variación de existencias de productos en curso,
1,1,2,3,0,0,710,Variación de existencias de productos en curso,
1,1,2,4,0,0,711,Variación de existencias de productos semiterminados,
1,1,2,5,0,0,711,Variación de existencias de productos semiterminados,
1,1,2,6,0,0,712,Variación de existencias de productos terminados,
1,1,2,7,0,0,712,Variación de existencias de productos terminados,
1,1,2,8,0,0,713,"Variación de existencias de subproductos, residuos y materiales recuperados",
1,1,2,9,0,0,713,"Variación de existencias de subproductos, residuos y materiales recuperados",
1,1,2,10,0,0,7930,Reversión del deterioro de productos terminados y en curso de fabricación,
1,1,3,0,0,0,,3. Trabajos realizados por la empresa para su activo,
1,1,3,1,0,0,730,Trabajos realizados para el inmovilizado intangible,
1,1,3,2,0,0,731,Trabajos realizados para el inmovilizado material,
1,1,3,3,0,0,732,Trabajos realizados en inversiones inmobiliarias,
1,1,3,4,0,0,733,Trabajos realizados para el inmovilizado material en curso,
1,1,4,0,0,0,,4. Aprovisionamientos,
1,1,4,1,0,0,,a) Consumo de mercaderías,
1,1,4,1,1,0,600,Compras de mercaderías,
1,1,4,1,2,0,6060,Descuentos sobre compras por pronto pago de mercaderías,
1,1,4,1,3,0,6080,Devoluciones de compras de mercaderías,
1,1,4,1,4,0,6090,"""Rappels"" por compras de mercaderías",
1,1,4,1,5,0,610,Variación de existencias de mercaderías,
1,1,4,2,0,0,,b) Consumo de materias primas y otras materias consumibles,
1,1,4,2,1,0,601,Compras de materias primas,
1,1,4,2,2,0,602,Compras de otros aprovisionamientos,
1,1,4,2,3,0,6061,Descuentos sobre compras por pronto pago de materias primas,
1,1,4,2,4,0,6062,Descuentos sobre compras por pronto pago de otros aprovisionamientos,
1,1,4,2,5,0,6081,Devoluciones de compras de materias primas,
1,1,4,2,6,0,6082,Devoluciones de compras de otros aprovisionamientos,
1,1,4,2,7,0,6091,"""Rappels"" por compras de materias primas",
1,1,4,2,8,0,6092,"""Rappels"" por compras de otros aprovisionamientos",
1,1,4,2,9,0,611,Variación de existencias de materias primas,
1,1,4,2,10,0,612,Variación de existencias de otros aprovisionamientos,
1,1,4,3,0,0,,c) Trabajos realizados por otras empresas,
1,1,4,3,1,0,607,Trabajos realizados por otras empresas,
1,1,4,4,0,0,,"d) Deterioro de mercaderías, materias primas y otros aprovisionamientos",
1,1,4,4,1,0,6931,Pérdidas por deterioro de mercaderías,
1,1,4,4,2,0,6932,Pérdidas por deterioro de materias primas,
1,1,4,4,3,0,6933,Pérdidas por deterioro de otros aprovisionamientos,
1,1,4,4,4,0,7931,Reversión del deterioro de mercaderías,
1,1,4,4,5,0,7932,Reversión del deterioro de materias primas,
1,1,4,4,6,0,7933,Reversión del deterioro de otros aprovisionamientos,
1,1,5,0,0,0,,5. Otros ingresos de explotación,
1,1,5,1,0,0,,a) Ingresos accesorios y otros ingresos de gestión corriente,
1,1,5,1,1,0,751,Resultados de operaciones en común,
1,1,5,1,2,0,752,Ingresos por arrendamientos,
1,1,5,1,3,0,753,Ingresos de propiedad industrial cedida en explotación,
1,1,5,1,4,0,754,Ingresos por comisiones,
1,1,5,1,5,0,755,Ingresos por servicios al personal,
1,1,5,1,6,0,759,Ingresos por servicios diversos,
1,1,5,2,0,0,,b) Subvenciones de explotación incorporadas al resultado del ejercicio,
1,1,5,2,1,0,740,"Subvenciones, donaciones y legados a la explotación",
1,1,5,2,2,0,747,"Otras subvenciones, donaciones y legados transferidos al resultado del ejercicio",
1,1,5,3,0,0,,c) Ingresos excepcionales,
1,1,5,3,1,0,778,Ingresos excepcionales,
1,1,6,0,0,0,,6. Gastos de personal,
1,1,6,1,0,0,,"a) Sueldos, salarios y asimilados",
1,1,6,1,1,0,640,Sueldos y salarios,
1,1,6,1,2,0,641,Indemnizaciones,
1,1,6,1,3,0,6450,Retribuciones al personal liquidados con instrumentos de patrimonio,
1,1,6,2,0,0,,b) Cargas sociales,
1,1,6,2,1,0,642,Seguridad social a cargo de la empresa,
1,1,6,2,2,0,643,Retribuciones a largo plazo mediante sistemas de aportación definida,
1,1,6,2,3,0,649,Otros gastos sociales,
1,1,6,3,0,0,,c) Provisiones,
1,1,6,3,1,0,6440,Contribuciones anuales,
1,1,6,3,2,0,6442,Otros costes,
1,1,6,3,3,0,6457,Retribuciones al personal liquidados en efectivo basado en instrumentos de patrimonio,
1,1,6,3,4,0,7950,Exceso de provisión por retribuciones al personal,
1,1,6,3,5,0,7957,Exceso de provisión por transacciones con pagos basados en instrumentos de patrimonio,
1,1,7,0,0,0,,7. Otros gastos de explotación,
1,1,7,1,0,0,,a) Servicios exteriores,
1,1,7,1,1,0,620,Gastos en investigación y desarrollo del ejercicio,
1,1,7,1,2,0,621,Arrendamientos y cánones,
1,1,7,1,3,0,622,Reparaciones y conservación,
1,1,7,1,4,0,623,Servicios de profesionales independientes,
1,1,7,1,5,0,624,Transportes,
1,1,7,1,6,0,625,Primas de seguros,
1,1,7,1,7,0,626,Servicios bancarios y similares,
1,1,7,1,8,0,627,"Publicidad, propaganda y relaciones públicas",
1,1,7,1,9,0,628,Suministros,
1,1,7,1,10,0,629,Otros servicios,
1,1,7,2,0,0,,b) Tributos,
1,1,7,2,1,0,631,Otros tributos,
1,1,7,2,2,0,634,Ajustes negativos en la imposición indirecta,
1,1,7,2,3,0,636,Devolución de impuestos,
1,1,7,2,4,0,639,Ajustes positivos en la imposición indirecta,
1,1,7,3,0,0,,"c) Pérdidas, deterioro y variación de provisiones por operaciones comerciales",
1,1,7,3,1,0,650,Pérdidas de créditos comerciales incobrables,
1,1,7,3,2,0,694,Pérdidas por deterioro de créditos por operaciones comerciales,
1,1,7,3,3,0,695,Dotación a la provisión por operaciones comerciales,
1,1,7,3,4,0,794,Reversión del deterioro de créditos por operaciones comerciales,
1,1,7,3,5,0,7954,Exceso de provisión por operaciones comerciales,
1,1,7,4,0,0,,d) Otros gastos de gestión corriente,
1,1,7,4,1,0,651,Resultados de operaciones en común,
1,1,7,4,2,0,659,Otras pérdidas en gestión corriente,
1,1,7,5,0,0,,e) Gastos excepcionales,
1,1,7,5,1,0,678,Gastos excepcionales,
1,1,8,0,0,0,,8. Amortización del inmovilizado,
1,1,8,1,0,0,680,Amortización del inmovilizado intangible,
1,1,8,2,0,0,681,Amortización del inmovilizado material,
1,1,8,3,0,0,682,Amortización de las inversiones inmobiliarias,
1,1,9,0,0,0,,9. Imputación de subvenciones de inmovilizado no financiero y otras,
1,1,9,1,0,0,746,"Subvenciones, donaciones y legados de capital transferidos al resultado del ejercicio",
1,1,10,0,0,0,,10. Excesos de provisiones,
1,1,10,1,0,0,7951,Exceso de provisión para impuestos,
1,1,10,2,0,0,7952,Exceso de provisión para otras responsabilidades,
1,1,10,3,0,0,7955,Exceso de provisión para actuaciones medioambientales,
1,1,10,4,0,0,7956,Exceso de provisión para reestructuraciones,
1,1,11,0,0,0,,11. Deterioro y resultado por enajenaciones del inmovilizado,
1,1,11,2,0,0,,a) Deterioros y pérdidas,
1,1,11,2,1,0,690,Pérdidas por deterioro del inmovilizado intangible,
