NumCta,Descripcion
100,CAPITAL SOCIAL
112,RESERVA LEGAL
116,RESERVAS ESTATUTARIAS
117,RESERVAS VOLUNTARIAS
120,REMANENTES
121,RESULTADOS NEGATIVOS DE EJERCICIOS ANTERIORES
129,PERDIDAS Y GANANCIAS
170,DEUDAS A LARGO PLAZO CON ENTIDADES DE CREDITO
171,DEUDAS A LARGO PLAZO
173,PROVEEDORES DE INMOVILIZADO A LARGO PLAZO
174,EFECTOS A PAGAR A LARGO PLAZO
180,FINANZAS RECIBIDAS A LARGO PLAZO
185,DEPOSITOS RECIBIDOS A LARGO PLAZO
200,GASTOS DE CONSTITUCION
213,FONDO DE COMERCIO
214,DERECHOS DE TRASPASO
215,APLICACIONES INFORMATICAS
2150000000,BS.INVERSIÓN
217,DERECHOS SOBRE BIENES EN REGIMEN DE ARRENDAMIENTO FINANCIERO
220,TERRENOS Y BIENES NATURALES
221,CONSTRUCCIONES
222,INSTALACIONES TECNICAS
224,UTILLAJE
225,OTRAS INSTALACIONES
226,MOBILIARIO
227,EQUIPOS PARA PROCESO DE INFORMACION
228,ELEMENTOS DE TRANSPORTE
229,OTRO INMOVILIZADO MATERIAL
250,INVERSIONES FINANCIERAS PERMANENTES EN CAPITAL
251,VALORES DE RENTA FIJA
258,IMPOSICIONES A LARGO PLAZO
260,FIANZAS CONSTITUIDAS A LARGO PLAZO
265,DEPOSITOS CONSTITUIDOS A LARGO PLAZO
281,AMORTIZACION ACUMULADA DEL INMOVILIZADO INMATERIAL
2810000000,AMORTIZACION ACUMULADA DEL INMOVILIZADO INMATERIAL
282,AMORTIZACION ACUMULADA DEL INMOVILIZADO MATERIAL
2820000000,AMORTIZACION ACUMULADA DEL INMOVILIZADO MATERIAL
300,MERCADERIAS
310,MATERIAS PRIMAS
330,PRODUCTOS EN CURSO
340,PRODUCTOS SEMITERMINADOS
350,PRODUCTOS TERMINADOS
400,PROVEEDORES
4000000001,provedor 1
401,PROVEEDORES EFECTOS COMERCIALES A PAGAR
407,ANTICIPOS A PROVEEDORES
410,ACREEDORES POR PRESTACIONES DE SERVICIOS
4100000001,TELEFONICA S.A
4100000002,TELEFONICA MOVILES ESPAÑA S.A
4100000003,UNION FENOSA DISTRIBUCION S.A
4100000004,M.N.M PROGRAMACION S.L
411,ACREEDORS EFECTOS COMERCIALES A PAGAR
430,CLIENTES
4300000000,CLIENTES VARIOS
431,CLIENTES EFECTOS COMERCIALES A PAGAR
435,CLIENTES DE DUDOSO COBRO
437,ANTICIPOS DE CLIENTES
440,DEUDORES
441,DEUDORES EFECTOS COMERCIALES A COBRAR
445,DEUDORES DE DIVERSO COBRO
460,ANTICIPOS DE REMUNERACIONES
465,REMUNERACIONES PENDIENTES DE PAGO
4650000000,REMUNERACIONES PENDIENTES DE PAGO
470,HACIENDA PUBLICA DEUDOR POR DIVERSOS CONCEPTOS
4700000000,HACIENDA PUBLICA DEUDOR POR I.R.P.F. VENTAS
471,ORGANISMOS DE LA SEGURIDAD SOCIAL DEUDORES
472,HACIENDA PUBLICA IVA SOPORTADO
4720000001,IVA SOPORTADO AL 16%
4720000002,IVA SOPORTADO AL 7%
4720000003,IVA SOPORTADO AL 4%
4720000004,IVA SOPORTADO AL 16% CON RECARGO DEL 4%
4720000005,IVA SOPORTADO RECARGO DEL 1%
4720000006,"IVA SOPORTADO RECARGO DEL 0,5%"
4720000007,IVA SOPORTADO AL 0%
4720000101,I.G.I.C. 13%
4720000102,I.G.I.C. 5%
4720000103,I.G.I.C. 2%
473,HACIENDA PUBLICA RETENCIONES Y PAGOS A CUENTA
475,HACIENDA PUBLICA ACREEDOR POR CONCEPTOS FISCALES
4750000000,HACIENDA PUBLICA ACREEDOR ALQUILERES
4750000015,I.R.P.F. VENTAS AL 15
4751000000,HACIENDA PUBLICA ACREEDOR PROFESIONALES
4752000000,HACIENDA PUBLICA ACREEDOR RETENCIONES TRABAJADORES
476,ORGANISMOS DE LA SEGURIDAD SOCIAL ACREEDORES
4760000000,ORGANISMOS SEGURIDAD SOCIAL ACREEDORES
477,HACIENDA PUBLICA IVA REPERCUTIDO
4770000001,IVA REPERCUTIDO AL 16%
4770000002,IVA REPERCUTIDO AL 7%
4770000003,IVA REPERCUTIDO AL 4%
4770000004,IVA REPERCUTIDO RECARGO DEL 4%
4770000005,IVA REPERCUTIDO RECARGO DEL 1%
4770000006,"IVA REPERCUTIDO RECARGO DEL 0,5%"
4770000007,IVA REPERCUTIDO AL 0%
4770000101,I.G.I.C. 13%
4770000102,I.G.I.C. 5%
4770000103,I.G.I.C. 2%
480,GASTOS ANTICIPADOS
485,INGRESOS ANTICIPADOS
490,PROVISION PARA INSOLVENCIAS DE TRAFICO
520,DEUDAS A CORTO PLAZO POR ENTIDADES DE CREDITO
521,DEUDAS A CORTO PLAZO
523,PROVEEDORES DE INMOVILIZADO A CORTO PLAZO
524,EFECTOS A PAGAR A CORTO PLAZO
540,INVERSIONES FINANCIERAS TEMPORALES EN CAPITAL
541,VALORES DE RENTA FIJA A CORTO PLAZO
542,CREDITOS A CORTO PLAZO
548,IMPOSICIONES A CORTO PLAZO
550,TITULAR DE LA EXPLOTACION
553,CUENTA CORRIENTE CON SOCIOS Y ADMINISTRADORES
555,PARTIDAS PENDIENTES DE APLICACION
560,FIANZAS RECIBIDAS A CORTO PLAZO
561,DEPOSITOS RECIBIDOS A CORTO PLAZO
5610000000,PROVISION/SUPLIDOS
565,FIANZAS CONSTITUIDAS A CORTO PLAZO
570,CAJA PESETAS
5700000000,CAJA
5700005555,CAJA 2
572,"BANCOS E INSTITUCIONES DE CREDITO, C/C VISTA PESETAS"
5720000000,BANCO
580,INTERESES PAGADOS POR ANTICIPADO
585,INTERESES COBRADOS POR ANTICIPADO
600,COMPRAS DE MERCADERIAS
601,COMPRAS DE MATERIAS PRIMAS
602,COMPRAS DE OTROS APROVISIONAMIENTOS
607,TRABAJOS REALIZADOS POR OTRAS EMPRESAS
608,DEVOLUCIONES DE COMPRAS Y OPERACIONES SIMILARES
609,RAPPELS POR COMPRAS
621,ARRENDAMIENTOS Y CANONES
