id,tipo,modulo,idRpa,nombreCarpeta,orden
1,1,37,,LOPD,0
2,0,37,2,,8
3,0,37,8,,10
4,0,37,13,,6
5,0,37,5,,7
6,0,37,100000009,,9
7,1,37,,Consentimientos,1
8,0,37,9,,14
9,0,37,6,,11
10,0,37,37,,12
11,0,37,4,,13
12,0,37,18,,2
13,0,37,7,,5
14,1,37,,Informes,4
15,0,37,27,,16
16,0,37,17,,15
17,1,37,,Domiciliación Bancaria,3
18,0,37,34,,17
19,0,37,35,,19
20,0,37,33,,18
21,0,0,100000017,,0
22,1,0,,Justificantes Asistencia,3
23,0,0,20,,6
24,0,0,16,,5
25,1,0,,Ticket Cita,2
26,0,0,21,,8
27,0,0,19,,7
28,0,0,14,,0
29,0,0,15,,1
30,0,0,11,,4
31,0,5,25,,
32,0,5,100000014,,
33,0,5,100000015,,
34,0,5,100000016,,
35,0,21,26,,
36,0,21,100000013,,
37,0,1,23,,1
38,0,1,24,,0
39,0,1,22,,2
40,0,51,29,,
41,0,51,30,,
42,0,51,38,,
43,0,37,42,,
44,0,40,100000011,,
45,1,30,,LOPD,-1
46,0,30,32,,
47,0,30,100000007,,
48,0,30,28,,
49,0,30,31,,
50,1,30,,Domiciliación Bancaria,-1
51,0,30,36,,
52,0,1,100000012,,
53,1,29,,LOPD,-1
54,0,29,40,,
55,0,29,41,,
56,0,34,100000010,,
57,0,41,100000008,,
58,0,1,44,,
59,0,1,45,,
60,0,1,46,,
61,0,0,47,,
62,0,30,18,,
63,0,5,52,,
64,0,37,49,,
65,0,37,53,,
66,0,30,50,,
67,0,37,54,,
68,0,30,56,,
69,0,30,48,,
70,0,37,58,,
71,0,5,55,,
72,0,5,57,,
73,1,0,,Justificante Asistencia,-1
74,1,0,,Recordatorio / Confirmación Cita,-1
75,0,37,65,,
76,0,37,66,,
77,0,37,70,,
78,0,37,68,,
79,0,37,69,,
80,0,37,71,,
81,0,0,59,,
82,0,0,61,,
83,0,5,64,,
84,0,37,100000013,,
85,0,37,100000005,,
86,0,37,100000008,,
87,0,37,100000002,,
88,0,37,200000009,,
89,0,37,100000006,,
90,0,37,100000037,,
91,0,37,100000004,,
92,0,37,100000034,,
93,0,37,100000035,,
94,0,37,100000033,,
95,0,37,100000027,,
96,0,37,100000017,,
97,0,37,100000018,,
98,0,37,100000042,,
99,0,0,100000019,,
100,0,0,100000021,,
101,0,0,100000020,,
102,0,0,100000016,,
103,0,0,200000017,,
104,0,0,100000014,,
105,0,0,100000015,,
106,0,0,100000011,,
107,0,30,60,,
108,0,30,62,,
109,0,30,100000031,,
110,0,30,100000032,,
111,0,30,200000007,,
112,0,30,100000028,,
113,0,30,100000036,,
114,0,30,67,,
115,0,29,100000040,,
116,0,29,100000041,,
117,0,40,200000011,,
118,0,5,100000025,,
119,0,5,200000014,,
120,0,5,200000015,,
121,0,5,200000016,,
122,0,21,100000026,,
123,0,21,200000013,,
124,0,41,200000008,,
125,0,34,200000010,,
126,0,37,79,,
127,0,37,80,,
128,0,37,81,,
129,0,37,82,,
130,0,37,83,,
131,0,37,84,,
132,0,37,85,,
133,0,37,86,,
134,0,37,87,,
135,0,37,88,,
136,0,37,89,,
137,0,37,90,,
138,0,37,110,,
139,0,37,111,,
140,0,37,116,,
141,0,37,117,,
142,0,37,118,,
143,0,37,119,,
144,0,37,120,,
145,0,37,121,,
146,0,37,122,,
147,0,37,143,,
148,0,0,91,,
149,0,0,92,,
150,0,0,93,,
151,0,0,94,,
152,0,0,95,,
153,0,0,96,,
154,0,0,97,,
155,0,0,98,,
156,0,0,99,,
157,0,0,100,,
158,0,0,101,,
159,0,0,112,,
160,0,0,129,,
161,0,0,130,,
162,0,0,131,,
163,0,0,132,,
164,0,0,133,,
165,0,0,134,,
166,0,0,135,,
167,0,0,136,,
168,0,0,137,,
169,0,0,138,,
170,0,0,139,,
171,0,30,73,,
172,0,30,74,,
173,0,30,77,,
174,0,30,78,,
175,0,30,123,,
176,0,30,144,,
177,0,40,75,,
178,0,40,76,,
179,0,40,124,,
180,0,40,125,,
181,0,40,126,,
