id,descripcion,tipo,saldoCliente,saldoContrario,saldoExpediente,esFijo,impprincipal
1,Entrada,0,False,False,False,True,False
2,Salida,1,False,False,False,True,False
3,Abono,1,False,True,False,True,False
4,Cobro Despacho,0,True,True,False,True,False
5,Cobro Directo,0,True,False,False,True,False
6,Deuda Acreedora,1,False,True,False,True,False
7,Deuda Deudora,0,False,True,False,True,False
8,Dev. a Cliente,1,True,False,False,True,False
9,Dev. Cliente por Tercero,1,True,False,False,True,False
10,Entrega Cliente,0,True,False,False,True,False
11,Pago Despacho,1,True,True,False,True,False
12,Pago Directo,1,False,True,False,True,False
