id,codigo,nombre
1,AS,Acceso
2,AA,Acequia
3,AC,Acera
4,AR,Agregado
5,AL,Alameda
6,AD,Aldea
7,AQ,Alquería
8,AO,Alto
9,AN,Andador
10,AG,Angosta
11,AP,Apartamento
12,AE,Apeadero
13,AF,Arboleda
14,AB,Arrabal
15,AY,Arroyo
16,AH,Assegador
17,AT,Astillero
18,AJ,Atajo
19,AZ,Atzucat
20,AI,Autopista
21,AU,Autovía
22,AV,Avenida
23,AM,Ayuntamiento
24,BA,Bajada
25,BN,Balneario
26,BR,Barranco
27,BQ,Barranquil
28,BD,Barreduela
29,BO,Barrio
30,BE,Belena
31,BL,Bloque
32,BZ,Brazal
33,BU,Bulevar
34,KD,Caleya
35,KG,Caleyon
36,CL,Calle
37,KE,Calleja
38,CJ,Callejón
39,KB,Callejuela
40,KF,Callizo
41,CA,Calzada
42,CM,Camino
43,CW,Camino hondo
44,CF,Camino nuevo
45,CI,Camino viejo
46,CX,Campa
47,CQ,Canal
48,CK,Cantiño
49,CN,Cantón
50,CG,Cañada
51,KI,Carrera
52,KR,Carrerada
53,KK,Carrero
54,CT,Carretera
55,KQ,Carreterín
56,KP,Carretil
57,RR,Carril
58,CC,Casa
59,CS,Caserío
60,IB,Centro de internamiento
61,XX,Centro de menores
62,CP,Centro penitenciario
63,CR,Cerro
64,CH,Chalet
65,GC,Cigarral
66,CZ,Cinturón
67,KA,Cinyell
68,CV,Circunvalación
69,CB,Cobertizo
70,YG,Colegio
71,CO,Colonia
72,CE,Complejo
73,YJ,Concejo
74,KC,Conjunto
75,TO,Convento
76,KO,Corralillo
77,KL,Corralo
78,KM,Corredera
79,KN,Corredor
80,CD,Corredorcillo
81,KJ,Corrillo
82,CY,Cortijo
83,KH,Costa
84,OS,Costanilla
85,DR,Cuadra
86,CU,Cuesta
87,DE,Demarcación
88,YD,Detrás
89,DT,Diputacion
90,DM,Diseminados
91,ED,Edificio
92,EI,Eirado
93,EN,Entrada
94,EC,Escalera
95,ES,Escalinata
96,EP,Espalda
97,ET,Estación
98,EB,Estrada
99,EX,Explanada
100,EY,Extramuros
101,EA,Extrarradio
102,FC,Fábrica
103,FA,Falda
104,FR,Ferrocarril
105,FN,Finca
106,GA,Galería
107,GT,Glorieta
108,GV,Gran vía
109,GJ,Granja
110,GR,Grupo
111,HE,Hegi
112,HO,Hoya
113,HU,Huerta
114,YH,Huerto
115,IL,Illa
116,IN,Inda
117,JA,Jardín
118,JR,Jardines
119,LD,Ladera
120,LA,Lago
121,LO,Loma
122,LG,Lugar
123,MA,Malecón
124,MZ,Manzana
125,MS,Masía
126,MO,Mazo
127,MC,Mercado
128,MI,Mirador
129,MT,Monasterio
130,ME,Monte
131,MU,Muelle
132,MN,Municipio
133,NO,No consta
134,NC,Núcleo
135,OR,Organismo
136,PC,Pago
137,PN,Pantano
138,PE,Paraje
139,MM,Paramo
140,PQ,Parque
141,PL,Particular
142,TD,Partida
143,PD,Pas
144,PI,Pasadizo
145,PJ,Pasaje
146,PO,Paseo
147,PS,Pasillo
148,PH,Passadis
149,PK,Pinar
150,YP,Pista
151,YT,Placeta
152,PM,Playa
153,PZ,Plaza
154,PY,Plazoleta
155,PA,Plazuela
156,PX,Población
157,PB,Poblado
158,PG,Polígono
159,PT,Portal
160,KW,Portillo
161,PV,Praciña
162,PW,Praza
163,PR,Prolongación
164,PU,Pueblo
165,PP,Puente
166,ER,Puerto
167,PF,Pujada
168,QT,Quinta
169,RN,Raconada
170,RA,Ramal
171,RB,Rambla
172,RC,Rampa
173,RJ,Recanto
174,RE,Residencial
175,RG,Ribera
176,IE,Riera
177,RH,Rincón
178,RI,Rinconada
179,RD,Ronda
180,RO,Rotonda
181,UA,Rua
182,RU,Rueiro
183,SA,Salida
184,SN,Salon
185,ST,Santuario
186,SC,Sector
187,SD,Senda
188,SB,Sendera
189,SE,Sendero
190,SV,Serventía
191,SL,Solar
192,SU,Subida
193,TE,Terrenos
194,YR,Torrent
195,YN,Torrente
196,TT,Tránsito
197,TR,Transversal
198,TS,Trasera
199,TV,Travesía
200,TN,Túnel
201,UR,Urbanización
202,VA,Valle
203,VG,Vega
204,VT,Veinat
205,VL,Venela
206,VR,Vereda
207,VI,Vía
208,VD,Viaducto
209,VH,Vial
210,VV,Viviendas
211,ZO,Zona
